event,ordinal,token,cycle,group,item
put,128,0,127343,-1,-1
capture,128,0,127344,-1,-1
start,128,0,127345,-1,-1
group,128,0,127346,0,-1
chunk,128,0,127347,0,0
read,128,0,127348,0,0
dispatch,128,0,127349,0,0
read,128,0,127350,0,1
dispatch,128,0,127351,0,1
read,128,0,127352,0,2
response,128,0,127352,0,0
dispatch,128,0,127353,0,2
multiply,128,0,127353,0,0
combine,128,0,127354,0,0
read,128,0,127354,0,3
response,128,0,127354,0,1
accumulate,128,0,127355,0,0
dispatch,128,0,127355,0,3
multiply,128,0,127355,0,1
combine,128,0,127356,0,1
read,128,0,127356,0,4
response,128,0,127356,0,2
accumulate,128,0,127357,0,1
dispatch,128,0,127357,0,4
multiply,128,0,127357,0,2
combine,128,0,127358,0,2
read,128,0,127358,0,5
response,128,0,127358,0,3
accumulate,128,0,127359,0,2
dispatch,128,0,127359,0,5
multiply,128,0,127359,0,3
combine,128,0,127360,0,3
read,128,0,127360,0,6
response,128,0,127360,0,4
accumulate,128,0,127361,0,3
dispatch,128,0,127361,0,6
multiply,128,0,127361,0,4
combine,128,0,127362,0,4
read,128,0,127362,0,7
response,128,0,127362,0,5
accumulate,128,0,127363,0,4
dispatch,128,0,127363,0,7
multiply,128,0,127363,0,5
combine,128,0,127364,0,5
read,128,0,127364,0,8
response,128,0,127364,0,6
accumulate,128,0,127365,0,5
dispatch,128,0,127365,0,8
multiply,128,0,127365,0,6
combine,128,0,127366,0,6
read,128,0,127366,0,9
response,128,0,127366,0,7
accumulate,128,0,127367,0,6
dispatch,128,0,127367,0,9
multiply,128,0,127367,0,7
combine,128,0,127368,0,7
read,128,0,127368,0,10
response,128,0,127368,0,8
accumulate,128,0,127369,0,7
dispatch,128,0,127369,0,10
multiply,128,0,127369,0,8
combine,128,0,127370,0,8
read,128,0,127370,0,11
response,128,0,127370,0,9
accumulate,128,0,127371,0,8
dispatch,128,0,127371,0,11
multiply,128,0,127371,0,9
combine,128,0,127372,0,9
read,128,0,127372,0,12
response,128,0,127372,0,10
accumulate,128,0,127373,0,9
dispatch,128,0,127373,0,12
multiply,128,0,127373,0,10
combine,128,0,127374,0,10
read,128,0,127374,0,13
response,128,0,127374,0,11
accumulate,128,0,127375,0,10
dispatch,128,0,127375,0,13
multiply,128,0,127375,0,11
combine,128,0,127376,0,11
read,128,0,127376,0,14
response,128,0,127376,0,12
accumulate,128,0,127377,0,11
dispatch,128,0,127377,0,14
multiply,128,0,127377,0,12
combine,128,0,127378,0,12
read,128,0,127378,0,15
response,128,0,127378,0,13
accumulate,128,0,127379,0,12
chunk,128,0,127379,0,1
dispatch,128,0,127379,0,15
multiply,128,0,127379,0,13
combine,128,0,127380,0,13
read,128,0,127380,0,16
response,128,0,127380,0,14
accumulate,128,0,127381,0,13
dispatch,128,0,127381,0,16
multiply,128,0,127381,0,14
combine,128,0,127382,0,14
read,128,0,127382,0,17
response,128,0,127382,0,15
accumulate,128,0,127383,0,14
dispatch,128,0,127383,0,17
multiply,128,0,127383,0,15
combine,128,0,127384,0,15
read,128,0,127384,0,18
response,128,0,127384,0,16
accumulate,128,0,127385,0,15
dispatch,128,0,127385,0,18
multiply,128,0,127385,0,16
combine,128,0,127386,0,16
read,128,0,127386,0,19
response,128,0,127386,0,17
accumulate,128,0,127387,0,16
dispatch,128,0,127387,0,19
multiply,128,0,127387,0,17
combine,128,0,127388,0,17
response,128,0,127388,0,18
accumulate,128,0,127389,0,17
multiply,128,0,127389,0,18
combine,128,0,127390,0,18
response,128,0,127390,0,19
accumulate,128,0,127391,0,18
multiply,128,0,127391,0,19
combine,128,0,127392,0,19
last,128,0,127393,0,19
bias,128,0,127394,0,-1
restart,128,0,127394,0,-1
add,128,0,127395,0,-1
group,128,0,127395,1,-1
chunk,128,0,127396,1,0
round,128,0,127396,0,-1
collect,128,0,127397,0,-1
read,128,0,127397,1,0
dispatch,128,0,127398,1,0
read,128,0,127399,1,1
dispatch,128,0,127400,1,1
read,128,0,127401,1,2
response,128,0,127401,1,0
dispatch,128,0,127402,1,2
multiply,128,0,127402,1,0
combine,128,0,127403,1,0
read,128,0,127403,1,3
response,128,0,127403,1,1
accumulate,128,0,127404,1,0
dispatch,128,0,127404,1,3
multiply,128,0,127404,1,1
combine,128,0,127405,1,1
read,128,0,127405,1,4
response,128,0,127405,1,2
accumulate,128,0,127406,1,1
dispatch,128,0,127406,1,4
multiply,128,0,127406,1,2
combine,128,0,127407,1,2
read,128,0,127407,1,5
response,128,0,127407,1,3
accumulate,128,0,127408,1,2
dispatch,128,0,127408,1,5
multiply,128,0,127408,1,3
combine,128,0,127409,1,3
read,128,0,127409,1,6
response,128,0,127409,1,4
accumulate,128,0,127410,1,3
dispatch,128,0,127410,1,6
multiply,128,0,127410,1,4
combine,128,0,127411,1,4
read,128,0,127411,1,7
response,128,0,127411,1,5
accumulate,128,0,127412,1,4
dispatch,128,0,127412,1,7
multiply,128,0,127412,1,5
combine,128,0,127413,1,5
read,128,0,127413,1,8
response,128,0,127413,1,6
accumulate,128,0,127414,1,5
dispatch,128,0,127414,1,8
multiply,128,0,127414,1,6
combine,128,0,127415,1,6
read,128,0,127415,1,9
response,128,0,127415,1,7
accumulate,128,0,127416,1,6
dispatch,128,0,127416,1,9
multiply,128,0,127416,1,7
combine,128,0,127417,1,7
read,128,0,127417,1,10
response,128,0,127417,1,8
accumulate,128,0,127418,1,7
dispatch,128,0,127418,1,10
multiply,128,0,127418,1,8
combine,128,0,127419,1,8
read,128,0,127419,1,11
response,128,0,127419,1,9
accumulate,128,0,127420,1,8
dispatch,128,0,127420,1,11
multiply,128,0,127420,1,9
combine,128,0,127421,1,9
read,128,0,127421,1,12
response,128,0,127421,1,10
accumulate,128,0,127422,1,9
dispatch,128,0,127422,1,12
multiply,128,0,127422,1,10
combine,128,0,127423,1,10
read,128,0,127423,1,13
response,128,0,127423,1,11
accumulate,128,0,127424,1,10
dispatch,128,0,127424,1,13
multiply,128,0,127424,1,11
combine,128,0,127425,1,11
read,128,0,127425,1,14
response,128,0,127425,1,12
accumulate,128,0,127426,1,11
dispatch,128,0,127426,1,14
multiply,128,0,127426,1,12
combine,128,0,127427,1,12
read,128,0,127427,1,15
response,128,0,127427,1,13
accumulate,128,0,127428,1,12
chunk,128,0,127428,1,1
dispatch,128,0,127428,1,15
multiply,128,0,127428,1,13
combine,128,0,127429,1,13
read,128,0,127429,1,16
response,128,0,127429,1,14
accumulate,128,0,127430,1,13
dispatch,128,0,127430,1,16
multiply,128,0,127430,1,14
combine,128,0,127431,1,14
read,128,0,127431,1,17
response,128,0,127431,1,15
accumulate,128,0,127432,1,14
dispatch,128,0,127432,1,17
multiply,128,0,127432,1,15
combine,128,0,127433,1,15
read,128,0,127433,1,18
response,128,0,127433,1,16
accumulate,128,0,127434,1,15
dispatch,128,0,127434,1,18
multiply,128,0,127434,1,16
combine,128,0,127435,1,16
read,128,0,127435,1,19
response,128,0,127435,1,17
accumulate,128,0,127436,1,16
dispatch,128,0,127436,1,19
multiply,128,0,127436,1,17
combine,128,0,127437,1,17
response,128,0,127437,1,18
accumulate,128,0,127438,1,17
multiply,128,0,127438,1,18
combine,128,0,127439,1,18
response,128,0,127439,1,19
accumulate,128,0,127440,1,18
multiply,128,0,127440,1,19
combine,128,0,127441,1,19
last,128,0,127442,1,19
bias,128,0,127443,1,-1
restart,128,0,127443,1,-1
add,128,0,127444,1,-1
group,128,0,127444,2,-1
chunk,128,0,127445,2,0
round,128,0,127445,1,-1
collect,128,0,127446,1,-1
read,128,0,127446,2,0
dispatch,128,0,127447,2,0
read,128,0,127448,2,1
dispatch,128,0,127449,2,1
read,128,0,127450,2,2
response,128,0,127450,2,0
dispatch,128,0,127451,2,2
multiply,128,0,127451,2,0
combine,128,0,127452,2,0
read,128,0,127452,2,3
response,128,0,127452,2,1
