stage,frame,token,input_cycle,output_cycle,elapsed_cycles
block_input_queue,0,0,601,602,1
block_input_queue,0,1,853,1007,154
block_input_queue,0,2,1105,1412,307
block_input_queue,0,3,1413,1996,583
block_input_queue,0,4,1997,3476,1479
block_input_queue,0,5,3477,4463,986
block_input_queue,0,6,4464,5450,986
block_input_queue,0,7,5451,6437,986
block_input_queue,0,8,6438,7424,986
block_input_queue,0,9,7425,8411,986
block_input_queue,0,10,8412,9398,986
block_input_queue,0,11,9399,10385,986
block_input_queue,0,12,10386,11372,986
block_input_queue,0,13,11373,12359,986
block_input_queue,0,14,12360,13346,986
block_input_queue,0,15,13347,14333,986
block_input_queue,1,0,14334,15320,986
block_input_queue,1,1,15321,16307,986
block_input_queue,1,2,16308,17294,986
block_input_queue,1,3,17295,18281,986
block_input_queue,1,4,18282,19268,986
block_input_queue,1,5,19269,20255,986
block_input_queue,1,6,20256,21242,986
block_input_queue,1,7,21243,22229,986
block_input_queue,1,8,22230,23216,986
block_input_queue,1,9,23217,24203,986
block_input_queue,1,10,24204,25190,986
block_input_queue,1,11,25191,26177,986
block_input_queue,1,12,26178,27164,986
block_input_queue,1,13,27165,28151,986
block_input_queue,1,14,28152,29138,986
block_input_queue,1,15,29139,30125,986
block_input_queue,2,0,30126,31112,986
block_input_queue,2,1,31113,32099,986
block_input_queue,2,2,32100,33086,986
block_input_queue,2,3,33087,34073,986
block_input_queue,2,4,34074,35060,986
block_input_queue,2,5,35061,36047,986
block_input_queue,2,6,36048,37034,986
block_input_queue,2,7,37035,38021,986
block_input_queue,2,8,38022,39008,986
block_input_queue,2,9,39009,39995,986
block_input_queue,2,10,39996,40982,986
block_input_queue,2,11,40983,41969,986
block_input_queue,2,12,41970,42956,986
block_input_queue,2,13,42957,43943,986
block_input_queue,2,14,43944,44930,986
block_input_queue,2,15,44931,45917,986
block_input_queue,3,0,45918,46904,986
block_input_queue,3,1,46905,47891,986
block_input_queue,3,2,47892,48878,986
block_input_queue,3,3,48879,49865,986
block_input_queue,3,4,49866,50852,986
block_input_queue,3,5,50853,51839,986
block_input_queue,3,6,51840,52826,986
block_input_queue,3,7,52827,53813,986
block_input_queue,3,8,53814,54800,986
block_input_queue,3,9,54801,55787,986
block_input_queue,3,10,55788,56774,986
block_input_queue,3,11,56775,57761,986
block_input_queue,3,12,57762,58748,986
block_input_queue,3,13,58749,59735,986
block_input_queue,3,14,59736,60722,986
block_input_queue,3,15,60723,61709,986
block_input_queue,4,0,61710,62696,986
block_input_queue,4,1,62697,63683,986
block_input_queue,4,2,63684,64670,986
block_input_queue,4,3,64671,65657,986
block_input_queue,4,4,65658,66644,986
block_input_queue,4,5,66645,67631,986
block_input_queue,4,6,67632,68618,986
block_input_queue,4,7,68619,69605,986
block_input_queue,4,8,69606,70592,986
block_input_queue,4,9,70593,71579,986
block_input_queue,4,10,71580,72566,986
block_input_queue,4,11,72567,73553,986
block_input_queue,4,12,73554,74540,986
block_input_queue,4,13,74541,75527,986
block_input_queue,4,14,75528,76514,986
block_input_queue,4,15,76515,77501,986
block_input_queue,5,0,77502,78488,986
block_input_queue,5,1,78489,79475,986
block_input_queue,5,2,79476,80462,986
block_input_queue,5,3,80463,81449,986
block_input_queue,5,4,81450,82436,986
block_input_queue,5,5,82437,83423,986
block_input_queue,5,6,83424,84410,986
block_input_queue,5,7,84411,85397,986
block_input_queue,5,8,85398,86384,986
block_input_queue,5,9,86385,87371,986
block_input_queue,5,10,87372,88358,986
block_input_queue,5,11,88359,89345,986
block_input_queue,5,12,89346,90332,986
block_input_queue,5,13,90333,91319,986
block_input_queue,5,14,91320,92306,986
block_input_queue,5,15,92307,93293,986
block_input_queue,6,0,93294,94280,986
block_input_queue,6,1,94281,95267,986
block_input_queue,6,2,95268,96254,986
block_input_queue,6,3,96255,97241,986
block_input_queue,6,4,97242,98228,986
block_input_queue,6,5,98229,99215,986
block_input_queue,6,6,99216,100202,986
block_input_queue,6,7,100203,101189,986
block_input_queue,6,8,101190,102176,986
block_input_queue,6,9,102177,103163,986
block_input_queue,6,10,103164,104150,986
block_input_queue,6,11,104151,105137,986
block_input_queue,6,12,105138,106124,986
block_input_queue,6,13,106125,107111,986
block_input_queue,6,14,107112,108098,986
block_input_queue,6,15,108099,109085,986
block_input_queue,7,0,109086,110072,986
block_input_queue,7,1,110073,111059,986
block_input_queue,7,2,111060,112046,986
block_input_queue,7,3,112047,113033,986
block_input_queue,7,4,113034,114020,986
block_input_queue,7,5,114021,115007,986
block_input_queue,7,6,115008,115994,986
block_input_queue,7,7,115995,116981,986
block_input_queue,7,8,116982,117968,986
block_input_queue,7,9,117969,118955,986
block_input_queue,7,10,118956,119942,986
block_input_queue,7,11,119943,120929,986
block_input_queue,7,12,120930,121916,986
block_input_queue,7,13,121917,122903,986
block_input_queue,7,14,122904,123890,986
block_input_queue,7,15,123891,124877,986
block_input_queue,8,0,124878,125864,986
block_input_queue,8,1,125865,126851,986
block_input_queue,8,2,126852,127838,986
block_input_queue,8,3,127839,128825,986
block_input_queue,8,4,128826,129812,986
block_input_queue,8,5,129813,130799,986
block_input_queue,8,6,130800,131786,986
block_input_queue,8,7,131787,132773,986
block_input_queue,8,8,132774,133760,986
block_input_queue,8,9,133761,134747,986
block_input_queue,8,10,134748,135734,986
block_input_queue,8,11,135735,136721,986
block_input_queue,8,12,136722,137708,986
block_input_queue,8,13,137709,138695,986
block_input_queue,8,14,138696,139682,986
block_input_queue,8,15,139683,140669,986
block_input_queue,9,0,140670,141656,986
block_input_queue,9,1,141657,142643,986
block_input_queue,9,2,142644,143630,986
block_input_queue,9,3,143631,144617,986
block_input_queue,9,4,144618,145604,986
block_input_queue,9,5,145605,146591,986
block_input_queue,9,6,146592,147578,986
block_input_queue,9,7,147579,148565,986
block_input_queue,9,8,148566,149552,986
block_input_queue,9,9,149553,150539,986
block_input_queue,9,10,150540,151526,986
block_input_queue,9,11,151527,152513,986
block_input_queue,9,12,152514,153500,986
block_input_queue,9,13,153501,154487,986
block_input_queue,9,14,154488,155474,986
block_input_queue,9,15,155475,156461,986
block_input_queue,10,0,156462,157448,986
block_input_queue,10,1,157449,158435,986
block_input_queue,10,2,158436,159422,986
block_input_queue,10,3,159423,160409,986
block_input_queue,10,4,160410,161396,986
block_input_queue,10,5,161397,162383,986
block_input_queue,10,6,162384,163370,986
block_input_queue,10,7,163371,164357,986
block_input_queue,10,8,164358,165344,986
block_input_queue,10,9,165345,166331,986
block_input_queue,10,10,166332,167318,986
block_input_queue,10,11,167319,168305,986
block_input_queue,10,12,168306,169292,986
block_input_queue,10,13,169293,170279,986
block_input_queue,10,14,170280,171266,986
block_input_queue,10,15,171267,172253,986
block_input_queue,11,0,172254,173240,986
block_input_queue,11,1,173241,174227,986
block_input_queue,11,2,174228,175214,986
block_input_queue,11,3,175215,176201,986
block_input_queue,11,4,176202,177188,986
