event,ordinal,token,cycle,group,item
put,128,0,81455,-1,-1
capture,128,0,81456,-1,-1
start,128,0,81457,-1,-1
group,128,0,81458,0,-1
chunk,128,0,81459,0,0
read,128,0,81460,0,0
dispatch,128,0,81461,0,0
read,128,0,81461,0,1
dispatch,128,0,81462,0,1
read,128,0,81462,0,2
dispatch,128,0,81463,0,2
read,128,0,81463,0,3
dispatch,128,0,81464,0,3
read,128,0,81464,0,4
response,128,0,81464,0,0
dispatch,128,0,81465,0,4
multiply,128,0,81465,0,0
read,128,0,81465,0,5
response,128,0,81465,0,1
combine,128,0,81466,0,0
dispatch,128,0,81466,0,5
multiply,128,0,81466,0,1
read,128,0,81466,0,6
response,128,0,81466,0,2
accumulate,128,0,81467,0,0
combine,128,0,81467,0,1
dispatch,128,0,81467,0,6
multiply,128,0,81467,0,2
read,128,0,81467,0,7
response,128,0,81467,0,3
accumulate,128,0,81468,0,1
combine,128,0,81468,0,2
dispatch,128,0,81468,0,7
multiply,128,0,81468,0,3
read,128,0,81468,0,8
response,128,0,81468,0,4
accumulate,128,0,81469,0,2
combine,128,0,81469,0,3
dispatch,128,0,81469,0,8
multiply,128,0,81469,0,4
read,128,0,81469,0,9
response,128,0,81469,0,5
accumulate,128,0,81470,0,3
combine,128,0,81470,0,4
dispatch,128,0,81470,0,9
multiply,128,0,81470,0,5
read,128,0,81470,0,10
response,128,0,81470,0,6
accumulate,128,0,81471,0,4
combine,128,0,81471,0,5
dispatch,128,0,81471,0,10
multiply,128,0,81471,0,6
read,128,0,81471,0,11
response,128,0,81471,0,7
accumulate,128,0,81472,0,5
combine,128,0,81472,0,6
dispatch,128,0,81472,0,11
multiply,128,0,81472,0,7
read,128,0,81472,0,12
response,128,0,81472,0,8
accumulate,128,0,81473,0,6
combine,128,0,81473,0,7
dispatch,128,0,81473,0,12
multiply,128,0,81473,0,8
read,128,0,81473,0,13
response,128,0,81473,0,9
accumulate,128,0,81474,0,7
combine,128,0,81474,0,8
dispatch,128,0,81474,0,13
multiply,128,0,81474,0,9
read,128,0,81474,0,14
response,128,0,81474,0,10
accumulate,128,0,81475,0,8
combine,128,0,81475,0,9
dispatch,128,0,81475,0,14
multiply,128,0,81475,0,10
read,128,0,81475,0,15
response,128,0,81475,0,11
accumulate,128,0,81476,0,9
chunk,128,0,81476,0,1
combine,128,0,81476,0,10
dispatch,128,0,81476,0,15
multiply,128,0,81476,0,11
response,128,0,81476,0,12
accumulate,128,0,81477,0,10
combine,128,0,81477,0,11
multiply,128,0,81477,0,12
read,128,0,81477,0,16
response,128,0,81477,0,13
accumulate,128,0,81478,0,11
combine,128,0,81478,0,12
dispatch,128,0,81478,0,16
multiply,128,0,81478,0,13
read,128,0,81478,0,17
response,128,0,81478,0,14
accumulate,128,0,81479,0,12
combine,128,0,81479,0,13
dispatch,128,0,81479,0,17
multiply,128,0,81479,0,14
