stage,frame,token,input_cycle,output_cycle,elapsed_cycles
block_input_queue,0,0,601,602,1
block_input_queue,0,1,853,1007,154
block_input_queue,0,2,1105,1412,307
block_input_queue,0,3,1413,1817,404
block_input_queue,0,4,1818,3116,1298
block_input_queue,0,5,3117,3743,626
block_input_queue,0,6,3744,4370,626
block_input_queue,0,7,4371,4997,626
block_input_queue,0,8,4998,5630,632
block_input_queue,0,9,5631,6257,626
block_input_queue,0,10,6258,6884,626
block_input_queue,0,11,6885,7511,626
block_input_queue,0,12,7512,8144,632
block_input_queue,0,13,8145,8771,626
block_input_queue,0,14,8772,9398,626
block_input_queue,0,15,9399,10025,626
block_input_queue,1,0,10026,10658,632
block_input_queue,1,1,10659,11285,626
block_input_queue,1,2,11286,11912,626
block_input_queue,1,3,11913,12539,626
block_input_queue,1,4,12540,13172,632
block_input_queue,1,5,13173,13799,626
block_input_queue,1,6,13800,14426,626
block_input_queue,1,7,14427,15053,626
block_input_queue,1,8,15054,15686,632
block_input_queue,1,9,15687,16313,626
block_input_queue,1,10,16314,16940,626
block_input_queue,1,11,16941,17567,626
block_input_queue,1,12,17568,18200,632
block_input_queue,1,13,18201,18827,626
block_input_queue,1,14,18828,19454,626
block_input_queue,1,15,19455,20081,626
block_input_queue,2,0,20082,20714,632
block_input_queue,2,1,20715,21341,626
block_input_queue,2,2,21342,21968,626
block_input_queue,2,3,21969,22595,626
block_input_queue,2,4,22596,23228,632
block_input_queue,2,5,23229,23855,626
block_input_queue,2,6,23856,24482,626
block_input_queue,2,7,24483,25109,626
block_input_queue,2,8,25110,25742,632
block_input_queue,2,9,25743,26369,626
block_input_queue,2,10,26370,26996,626
block_input_queue,2,11,26997,27623,626
block_input_queue,2,12,27624,28256,632
block_input_queue,2,13,28257,28883,626
block_input_queue,2,14,28884,29510,626
block_input_queue,2,15,29511,30137,626
block_input_queue,3,0,30138,30770,632
block_input_queue,3,1,30771,31397,626
block_input_queue,3,2,31398,32024,626
block_input_queue,3,3,32025,32651,626
block_input_queue,3,4,32652,33284,632
block_input_queue,3,5,33285,33911,626
block_input_queue,3,6,33912,34538,626
block_input_queue,3,7,34539,35165,626
block_input_queue,3,8,35166,35798,632
block_input_queue,3,9,35799,36425,626
block_input_queue,3,10,36426,37052,626
block_input_queue,3,11,37053,37679,626
block_input_queue,3,12,37680,38312,632
block_input_queue,3,13,38313,38939,626
block_input_queue,3,14,38940,39566,626
block_input_queue,3,15,39567,40193,626
block_input_queue,4,0,40194,40826,632
block_input_queue,4,1,40827,41453,626
block_input_queue,4,2,41454,42080,626
block_input_queue,4,3,42081,42707,626
block_input_queue,4,4,42708,43340,632
block_input_queue,4,5,43341,43967,626
block_input_queue,4,6,43968,44594,626
block_input_queue,4,7,44595,45221,626
block_input_queue,4,8,45222,45854,632
block_input_queue,4,9,45855,46481,626
block_input_queue,4,10,46482,47108,626
block_input_queue,4,11,47109,47735,626
block_input_queue,4,12,47736,48368,632
block_input_queue,4,13,48369,48995,626
block_input_queue,4,14,48996,49622,626
block_input_queue,4,15,49623,50249,626
block_input_queue,5,0,50250,50882,632
block_input_queue,5,1,50883,51509,626
block_input_queue,5,2,51510,52136,626
block_input_queue,5,3,52137,52763,626
block_input_queue,5,4,52764,53396,632
block_input_queue,5,5,53397,54023,626
block_input_queue,5,6,54024,54650,626
block_input_queue,5,7,54651,55277,626
block_input_queue,5,8,55278,55910,632
block_input_queue,5,9,55911,56537,626
block_input_queue,5,10,56538,57164,626
block_input_queue,5,11,57165,57791,626
block_input_queue,5,12,57792,58424,632
block_input_queue,5,13,58425,59051,626
block_input_queue,5,14,59052,59678,626
block_input_queue,5,15,59679,60305,626
block_input_queue,6,0,60306,60938,632
block_input_queue,6,1,60939,61565,626
block_input_queue,6,2,61566,62192,626
block_input_queue,6,3,62193,62819,626
block_input_queue,6,4,62820,63452,632
block_input_queue,6,5,63453,64079,626
block_input_queue,6,6,64080,64706,626
block_input_queue,6,7,64707,65333,626
block_input_queue,6,8,65334,65966,632
block_input_queue,6,9,65967,66593,626
block_input_queue,6,10,66594,67220,626
block_input_queue,6,11,67221,67847,626
block_input_queue,6,12,67848,68480,632
block_input_queue,6,13,68481,69107,626
block_input_queue,6,14,69108,69734,626
block_input_queue,6,15,69735,70361,626
block_input_queue,7,0,70362,70994,632
block_input_queue,7,1,70995,71621,626
block_input_queue,7,2,71622,72248,626
block_input_queue,7,3,72249,72875,626
block_input_queue,7,4,72876,73508,632
block_input_queue,7,5,73509,74135,626
block_input_queue,7,6,74136,74762,626
block_input_queue,7,7,74763,75389,626
block_input_queue,7,8,75390,76022,632
block_input_queue,7,9,76023,76649,626
block_input_queue,7,10,76650,77276,626
block_input_queue,7,11,77277,77903,626
block_input_queue,7,12,77904,78536,632
block_input_queue,7,13,78537,79163,626
block_input_queue,7,14,79164,79790,626
block_input_queue,7,15,79791,80417,626
block_input_queue,8,0,80418,81050,632
block_input_queue,8,1,81051,81677,626
block_input_queue,8,2,81678,82304,626
block_input_queue,8,3,82305,82931,626
block_input_queue,8,4,82932,83564,632
block_input_queue,8,5,83565,84191,626
block_input_queue,8,6,84192,84818,626
block_input_queue,8,7,84819,85445,626
block_input_queue,8,8,85446,86078,632
block_input_queue,8,9,86079,86705,626
block_input_queue,8,10,86706,87332,626
block_input_queue,8,11,87333,87959,626
block_input_queue,8,12,87960,88592,632
block_input_queue,8,13,88593,89219,626
block_input_queue,8,14,89220,89846,626
block_input_queue,8,15,89847,90473,626
block_input_queue,9,0,90474,91106,632
block_input_queue,9,1,91107,91733,626
block_input_queue,9,2,91734,92360,626
block_input_queue,9,3,92361,92987,626
block_input_queue,9,4,92988,93620,632
block_input_queue,9,5,93621,94247,626
block_input_queue,9,6,94248,94874,626
block_input_queue,9,7,94875,95501,626
block_input_queue,9,8,95502,96134,632
block_input_queue,9,9,96135,96761,626
block_input_queue,9,10,96762,97388,626
block_input_queue,9,11,97389,98015,626
block_input_queue,9,12,98016,98648,632
block_input_queue,9,13,98649,99275,626
block_input_queue,9,14,99276,99902,626
block_input_queue,9,15,99903,100529,626
block_input_queue,10,0,100530,101162,632
block_input_queue,10,1,101163,101789,626
block_input_queue,10,2,101790,102416,626
block_input_queue,10,3,102417,103043,626
block_input_queue,10,4,103044,103676,632
block_input_queue,10,5,103677,104303,626
block_input_queue,10,6,104304,104930,626
block_input_queue,10,7,104931,105557,626
block_input_queue,10,8,105558,106190,632
block_input_queue,10,9,106191,106817,626
block_input_queue,10,10,106818,107444,626
block_input_queue,10,11,107445,108071,626
block_input_queue,10,12,108072,108704,632
block_input_queue,10,13,108705,109331,626
block_input_queue,10,14,109332,109958,626
block_input_queue,10,15,109959,110585,626
block_input_queue,11,0,110586,111218,632
block_input_queue,11,1,111219,111845,626
block_input_queue,11,2,111846,112472,626
block_input_queue,11,3,112473,113099,626
block_input_queue,11,4,113100,113732,632
