SWAY_PERF_BEGIN,64,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PROFILE,patch_ready,0,0,348
SWAY_PROFILE,embedding_in,0,0,349
SWAY_PROFILE,patch_ready,0,1,371
SWAY_PROFILE,embedding_in,0,1,601
SWAY_PROFILE,block0_in,0,0,601
SWAY_PROFILE,patch_ready,0,2,602
SWAY_PERF_INPUT_FRAME,1,322,641
SWAY_PROFILE,embedding_in,0,2,853
SWAY_PROFILE,block0_in,0,1,853
SWAY_PROFILE,patch_ready,0,3,854
SWAY_PROFILE,embedding_in,0,3,1105
SWAY_PROFILE,block0_in,0,2,1105
SWAY_PROFILE,patch_ready,0,4,1106
SWAY_PROFILE,embedding_in,0,4,1357
SWAY_PROFILE,patch_ready,0,5,1358
SWAY_PROFILE,block0_in,0,3,1413
SWAY_PROFILE,embedding_in,0,5,1609
SWAY_PROFILE,patch_ready,0,6,1610
SWAY_PROFILE,block0_in,0,4,1818
SWAY_PROFILE,embedding_in,0,6,1861
SWAY_PROFILE,patch_ready,0,7,1862
SWAY_PROFILE,block0_in,0,5,3117
SWAY_PROFILE,block1_in,0,0,3117
SWAY_PROFILE,embedding_in,0,7,3119
SWAY_PROFILE,patch_ready,0,8,3120
SWAY_PROFILE,block0_in,0,6,3744
SWAY_PROFILE,block1_in,0,1,3744
SWAY_PROFILE,embedding_in,0,8,3746
SWAY_PROFILE,patch_ready,0,9,3747
SWAY_PROFILE,block0_in,0,7,4371
SWAY_PROFILE,block1_in,0,2,4371
SWAY_PROFILE,embedding_in,0,9,4373
SWAY_PROFILE,patch_ready,0,10,4374
SWAY_PROFILE,block0_in,0,8,4998
SWAY_PROFILE,block1_in,0,3,4998
SWAY_PROFILE,embedding_in,0,10,5000
SWAY_PROFILE,patch_ready,0,11,5001
SWAY_PROFILE,block0_in,0,9,5631
SWAY_PROFILE,block1_in,0,4,5631
SWAY_PROFILE,embedding_in,0,11,5633
SWAY_PROFILE,head_in,0,0,5633
SWAY_PROFILE,patch_ready,0,12,5634
SWAY_PROFILE,block0_in,0,10,6258
SWAY_PROFILE,block1_in,0,5,6258
SWAY_PROFILE,embedding_in,0,12,6260
SWAY_PROFILE,head_in,0,1,6260
SWAY_PROFILE,patch_ready,0,13,6261
SWAY_PROFILE,block0_in,0,11,6885
SWAY_PROFILE,block1_in,0,6,6885
SWAY_PROFILE,embedding_in,0,13,6887
SWAY_PROFILE,head_in,0,2,6887
SWAY_PROFILE,patch_ready,0,14,6888
SWAY_PROFILE,block0_in,0,12,7512
SWAY_PROFILE,block1_in,0,7,7512
SWAY_PROFILE,embedding_in,0,14,7514
SWAY_PROFILE,head_in,0,3,7514
SWAY_PROFILE,patch_ready,0,15,7515
SWAY_PERF_INPUT_FRAME,2,642,7805
SWAY_PROFILE,block0_in,0,13,8145
SWAY_PROFILE,block1_in,0,8,8145
SWAY_PROFILE,embedding_in,0,15,8147
SWAY_PROFILE,head_in,0,4,8147
SWAY_PROFILE,patch_ready,1,0,8148
SWAY_PROFILE,block0_in,0,14,8772
SWAY_PROFILE,block1_in,0,9,8772
SWAY_PROFILE,embedding_in,1,0,8774
SWAY_PROFILE,head_in,0,5,8774
SWAY_PROFILE,patch_ready,1,1,8775
SWAY_PROFILE,block0_in,0,15,9399
SWAY_PROFILE,block1_in,0,10,9399
SWAY_PROFILE,embedding_in,1,1,9401
SWAY_PROFILE,head_in,0,6,9401
SWAY_PROFILE,patch_ready,1,2,9402
SWAY_PROFILE,block0_in,1,0,10026
SWAY_PROFILE,block1_in,0,11,10026
SWAY_PROFILE,embedding_in,1,2,10028
SWAY_PROFILE,head_in,0,7,10028
SWAY_PROFILE,patch_ready,1,3,10029
SWAY_PROFILE,block0_in,1,1,10659
SWAY_PROFILE,block1_in,0,12,10659
SWAY_PROFILE,embedding_in,1,3,10661
SWAY_PROFILE,head_in,0,8,10661
SWAY_PROFILE,patch_ready,1,4,10662
SWAY_PROFILE,block0_in,1,2,11286
SWAY_PROFILE,block1_in,0,13,11286
SWAY_PROFILE,embedding_in,1,4,11288
SWAY_PROFILE,head_in,0,9,11288
SWAY_PROFILE,patch_ready,1,5,11289
SWAY_PROFILE,block0_in,1,3,11913
SWAY_PROFILE,block1_in,0,14,11913
SWAY_PROFILE,embedding_in,1,5,11915
SWAY_PROFILE,head_in,0,10,11915
SWAY_PROFILE,patch_ready,1,6,11916
SWAY_PROFILE,block0_in,1,4,12540
SWAY_PROFILE,block1_in,0,15,12540
SWAY_PROFILE,embedding_in,1,6,12542
SWAY_PROFILE,head_in,0,11,12542
SWAY_PROFILE,patch_ready,1,7,12543
SWAY_PROFILE,block0_in,1,5,13173
SWAY_PROFILE,block1_in,1,0,13173
SWAY_PROFILE,embedding_in,1,7,13175
SWAY_PROFILE,head_in,0,12,13175
SWAY_PROFILE,patch_ready,1,8,13176
SWAY_PROFILE,block0_in,1,6,13800
SWAY_PROFILE,block1_in,1,1,13800
SWAY_PROFILE,embedding_in,1,8,13802
SWAY_PROFILE,head_in,0,13,13802
SWAY_PROFILE,patch_ready,1,9,13803
SWAY_PROFILE,block0_in,1,7,14427
SWAY_PROFILE,block1_in,1,2,14427
SWAY_PROFILE,embedding_in,1,9,14429
SWAY_PROFILE,head_in,0,14,14429
SWAY_PROFILE,patch_ready,1,10,14430
SWAY_PROFILE,block0_in,1,8,15054
SWAY_PROFILE,block1_in,1,3,15054
SWAY_PROFILE,embedding_in,1,10,15056
SWAY_PROFILE,head_in,0,15,15056
SWAY_PROFILE,patch_ready,1,11,15057
SWAY_PROFILE,block0_in,1,9,15687
SWAY_PROFILE,block1_in,1,4,15687
SWAY_PROFILE,embedding_in,1,11,15689
SWAY_PROFILE,head_in,1,0,15689
SWAY_PROFILE,patch_ready,1,12,15690
SWAY_PROFILE,block0_in,1,10,16314
SWAY_PROFILE,block1_in,1,5,16314
SWAY_PROFILE,embedding_in,1,12,16316
SWAY_PROFILE,head_in,1,1,16316
SWAY_PROFILE,patch_ready,1,13,16317
SWAY_PROFILE,block0_in,1,11,16941
SWAY_PROFILE,block1_in,1,6,16941
SWAY_PROFILE,embedding_in,1,13,16943
SWAY_PROFILE,head_in,1,2,16943
SWAY_PROFILE,patch_ready,1,14,16944
SWAY_PROFILE,block0_in,1,12,17568
SWAY_PROFILE,block1_in,1,7,17568
SWAY_PROFILE,embedding_in,1,14,17570
SWAY_PROFILE,head_in,1,3,17570
SWAY_PROFILE,patch_ready,1,15,17571
SWAY_PERF_INPUT_FRAME,3,7806,17861
SWAY_PROFILE,block0_in,1,13,18201
SWAY_PROFILE,block1_in,1,8,18201
SWAY_PROFILE,embedding_in,1,15,18203
SWAY_PROFILE,head_in,1,4,18203
SWAY_PROFILE,patch_ready,2,0,18204
SWAY_PROFILE,head_output_in,0,0,18349
SWAY_PROFILE,block0_in,1,14,18828
SWAY_PROFILE,block1_in,1,9,18828
SWAY_PROFILE,embedding_in,2,0,18830
SWAY_PROFILE,head_in,1,5,18830
SWAY_PROFILE,patch_ready,2,1,18831
SWAY_PROFILE,serialize_in,0,0,19091
SWAY_PERF_OUTPUT,0,7,19093
SWAY_PERF_OUTPUT,1,7,19094
SWAY_PERF_OUTPUT,2,6,19095
SWAY_PERF_OUTPUT,3,6,19096
SWAY_PERF_OUTPUT,4,12,19097
SWAY_PERF_OUTPUT,5,16,19098
SWAY_PERF_OUTPUT,6,19,19099
SWAY_PERF_OUTPUT,7,1,19100
SWAY_PERF_OUTPUT,8,-2,19101
SWAY_PERF_OUTPUT,9,-3,19102
SWAY_PERF_OUTPUT,10,9,19103
SWAY_PERF_OUTPUT,11,10,19104
SWAY_PERF_OUTPUT,12,11,19105
SWAY_PERF_OUTPUT,13,11,19106
SWAY_PERF_OUTPUT,14,4,19107
SWAY_PERF_OUTPUT,15,2,19108
SWAY_PERF_OUTPUT,16,0,19109
SWAY_PERF_OUTPUT,17,0,19110
SWAY_PERF_OUTPUT,18,7,19111
SWAY_PERF_OUTPUT,19,63,19112
SWAY_PERF_OUTPUT,20,63,19113
SWAY_PERF_OUTPUT,21,63,19114
SWAY_PERF_OUTPUT,22,62,19115
SWAY_PERF_OUTPUT,23,62,19116
SWAY_PERF_OUTPUT,24,63,19117
SWAY_PERF_OUTPUT,25,61,19118
SWAY_PERF_OUTPUT,26,62,19119
SWAY_PERF_OUTPUT,27,63,19120
SWAY_PERF_OUTPUT,28,61,19121
SWAY_PERF_OUTPUT,29,62,19122
SWAY_PERF_OUTPUT,30,62,19123
SWAY_PERF_OUTPUT,31,63,19124
SWAY_PERF_OUTPUT,32,61,19125
SWAY_PERF_OUTPUT,33,62,19126
SWAY_PERF_OUTPUT,34,62,19127
SWAY_PERF_OUTPUT,35,63,19128
SWAY_PERF_OUTPUT,36,60,19129
SWAY_PERF_OUTPUT,37,63,19130
SWAY_PERF_OUTPUT,38,-7,19131
SWAY_PERF_OUTPUT,39,2,19132
SWAY_PERF_OUTPUT,40,13,19133
SWAY_PERF_OUTPUT,41,17,19134
SWAY_PERF_OUTPUT,42,9,19135
SWAY_PERF_OUTPUT,43,5,19136
SWAY_PERF_OUTPUT,44,2,19137
SWAY_PERF_OUTPUT,45,9,19138
SWAY_PERF_OUTPUT,46,2,19139
SWAY_PERF_OUTPUT,47,-4,19140
SWAY_PERF_OUTPUT,48,-7,19141
SWAY_PERF_OUTPUT,49,-17,19142
SWAY_PERF_OUTPUT,50,-28,19143
SWAY_PERF_OUTPUT,51,-29,19144
SWAY_PERF_OUTPUT,52,-7,19145
SWAY_PERF_OUTPUT,53,-16,19146
SWAY_PERF_OUTPUT,54,-27,19147
SWAY_PERF_OUTPUT,55,-29,19148
SWAY_PERF_OUTPUT,56,10,19149
SWAY_PERF_FRAME,0,19093,19149
SWAY_PROFILE,block0_in,1,15,19455
SWAY_PROFILE,block1_in,1,10,19455
SWAY_PROFILE,embedding_in,2,1,19457
SWAY_PROFILE,head_in,1,6,19457
SWAY_PROFILE,patch_ready,2,2,19458
SWAY_PROFILE,block0_in,2,0,20082
SWAY_PROFILE,block1_in,1,11,20082
SWAY_PROFILE,embedding_in,2,2,20084
SWAY_PROFILE,head_in,1,7,20084
SWAY_PROFILE,patch_ready,2,3,20085
SWAY_PROFILE,block0_in,2,1,20715
SWAY_PROFILE,block1_in,1,12,20715
SWAY_PROFILE,embedding_in,2,3,20717
SWAY_PROFILE,head_in,1,8,20717
SWAY_PROFILE,patch_ready,2,4,20718
SWAY_PROFILE,block0_in,2,2,21342
SWAY_PROFILE,block1_in,1,13,21342
SWAY_PROFILE,embedding_in,2,4,21344
SWAY_PROFILE,head_in,1,9,21344
SWAY_PROFILE,patch_ready,2,5,21345
SWAY_PROFILE,block0_in,2,3,21969
SWAY_PROFILE,block1_in,1,14,21969
SWAY_PROFILE,embedding_in,2,5,21971
SWAY_PROFILE,head_in,1,10,21971
SWAY_PROFILE,patch_ready,2,6,21972
SWAY_PROFILE,block0_in,2,4,22596
SWAY_PROFILE,block1_in,1,15,22596
SWAY_PROFILE,embedding_in,2,6,22598
SWAY_PROFILE,head_in,1,11,22598
SWAY_PROFILE,patch_ready,2,7,22599
SWAY_PROFILE,block0_in,2,5,23229
SWAY_PROFILE,block1_in,2,0,23229
SWAY_PROFILE,embedding_in,2,7,23231
SWAY_PROFILE,head_in,1,12,23231
SWAY_PROFILE,patch_ready,2,8,23232
SWAY_PROFILE,block0_in,2,6,23856
SWAY_PROFILE,block1_in,2,1,23856
SWAY_PROFILE,embedding_in,2,8,23858
SWAY_PROFILE,head_in,1,13,23858
SWAY_PROFILE,patch_ready,2,9,23859
SWAY_PROFILE,block0_in,2,7,24483
SWAY_PROFILE,block1_in,2,2,24483
SWAY_PROFILE,embedding_in,2,9,24485
SWAY_PROFILE,head_in,1,14,24485
SWAY_PROFILE,patch_ready,2,10,24486
SWAY_PROFILE,block0_in,2,8,25110
SWAY_PROFILE,block1_in,2,3,25110
SWAY_PROFILE,embedding_in,2,10,25112
SWAY_PROFILE,head_in,1,15,25112
SWAY_PROFILE,patch_ready,2,11,25113
SWAY_PROFILE,block0_in,2,9,25743
SWAY_PROFILE,block1_in,2,4,25743
SWAY_PROFILE,embedding_in,2,11,25745
SWAY_PROFILE,head_in,2,0,25745
SWAY_PROFILE,patch_ready,2,12,25746
SWAY_PROFILE,block0_in,2,10,26370
SWAY_PROFILE,block1_in,2,5,26370
SWAY_PROFILE,embedding_in,2,12,26372
SWAY_PROFILE,head_in,2,1,26372
SWAY_PROFILE,patch_ready,2,13,26373
SWAY_PROFILE,block0_in,2,11,26997
SWAY_PROFILE,block1_in,2,6,26997
SWAY_PROFILE,embedding_in,2,13,26999
SWAY_PROFILE,head_in,2,2,26999
SWAY_PROFILE,patch_ready,2,14,27000
SWAY_PROFILE,block0_in,2,12,27624
SWAY_PROFILE,block1_in,2,7,27624
SWAY_PROFILE,embedding_in,2,14,27626
SWAY_PROFILE,head_in,2,3,27626
SWAY_PROFILE,patch_ready,2,15,27627
SWAY_PERF_INPUT_FRAME,4,17862,27917
SWAY_PROFILE,block0_in,2,13,28257
SWAY_PROFILE,block1_in,2,8,28257
SWAY_PROFILE,embedding_in,2,15,28259
SWAY_PROFILE,head_in,2,4,28259
SWAY_PROFILE,patch_ready,3,0,28260
SWAY_PROFILE,head_output_in,1,0,28405
SWAY_PROFILE,block0_in,2,14,28884
SWAY_PROFILE,block1_in,2,9,28884
SWAY_PROFILE,embedding_in,3,0,28886
SWAY_PROFILE,head_in,2,5,28886
SWAY_PROFILE,patch_ready,3,1,28887
SWAY_PROFILE,serialize_in,1,0,29147
SWAY_PERF_OUTPUT,57,7,29149
SWAY_PERF_OUTPUT,58,8,29150
SWAY_PERF_OUTPUT,59,8,29151
SWAY_PERF_OUTPUT,60,8,29152
SWAY_PERF_OUTPUT,61,13,29153
SWAY_PERF_OUTPUT,62,17,29154
SWAY_PERF_OUTPUT,63,20,29155
SWAY_PERF_OUTPUT,64,2,29156
SWAY_PERF_OUTPUT,65,-2,29157
SWAY_PERF_OUTPUT,66,-5,29158
SWAY_PERF_OUTPUT,67,10,29159
SWAY_PERF_OUTPUT,68,11,29160
SWAY_PERF_OUTPUT,69,10,29161
SWAY_PERF_OUTPUT,70,11,29162
SWAY_PERF_OUTPUT,71,5,29163
SWAY_PERF_OUTPUT,72,3,29164
SWAY_PERF_OUTPUT,73,0,29165
SWAY_PERF_OUTPUT,74,0,29166
SWAY_PERF_OUTPUT,75,8,29167
SWAY_PERF_OUTPUT,76,62,29168
SWAY_PERF_OUTPUT,77,62,29169
SWAY_PERF_OUTPUT,78,62,29170
SWAY_PERF_OUTPUT,79,62,29171
SWAY_PERF_OUTPUT,80,62,29172
SWAY_PERF_OUTPUT,81,62,29173
SWAY_PERF_OUTPUT,82,60,29174
SWAY_PERF_OUTPUT,83,61,29175
SWAY_PERF_OUTPUT,84,61,29176
SWAY_PERF_OUTPUT,85,60,29177
SWAY_PERF_OUTPUT,86,61,29178
SWAY_PERF_OUTPUT,87,60,29179
SWAY_PERF_OUTPUT,88,62,29180
SWAY_PERF_OUTPUT,89,59,29181
SWAY_PERF_OUTPUT,90,61,29182
SWAY_PERF_OUTPUT,91,61,29183
SWAY_PERF_OUTPUT,92,64,29184
SWAY_PERF_OUTPUT,93,60,29185
SWAY_PERF_OUTPUT,94,62,29186
SWAY_PERF_OUTPUT,95,-6,29187
SWAY_PERF_OUTPUT,96,4,29188
SWAY_PERF_OUTPUT,97,14,29189
SWAY_PERF_OUTPUT,98,18,29190
SWAY_PERF_OUTPUT,99,10,29191
SWAY_PERF_OUTPUT,100,6,29192
SWAY_PERF_OUTPUT,101,-1,29193
SWAY_PERF_OUTPUT,102,10,29194
SWAY_PERF_OUTPUT,103,4,29195
SWAY_PERF_OUTPUT,104,-1,29196
SWAY_PERF_OUTPUT,105,-5,29197
SWAY_PERF_OUTPUT,106,-16,29198
SWAY_PERF_OUTPUT,107,-26,29199
SWAY_PERF_OUTPUT,108,-29,29200
SWAY_PERF_OUTPUT,109,-6,29201
SWAY_PERF_OUTPUT,110,-15,29202
SWAY_PERF_OUTPUT,111,-26,29203
SWAY_PERF_OUTPUT,112,-28,29204
SWAY_PERF_OUTPUT,113,11,29205
SWAY_PERF_FRAME,1,29149,29205
SWAY_PROFILE,block0_in,2,15,29511
SWAY_PROFILE,block1_in,2,10,29511
SWAY_PROFILE,embedding_in,3,1,29513
SWAY_PROFILE,head_in,2,6,29513
SWAY_PROFILE,patch_ready,3,2,29514
SWAY_PROFILE,block0_in,3,0,30138
SWAY_PROFILE,block1_in,2,11,30138
SWAY_PROFILE,embedding_in,3,2,30140
SWAY_PROFILE,head_in,2,7,30140
SWAY_PROFILE,patch_ready,3,3,30141
SWAY_PROFILE,block0_in,3,1,30771
SWAY_PROFILE,block1_in,2,12,30771
SWAY_PROFILE,embedding_in,3,3,30773
SWAY_PROFILE,head_in,2,8,30773
SWAY_PROFILE,patch_ready,3,4,30774
SWAY_PROFILE,block0_in,3,2,31398
SWAY_PROFILE,block1_in,2,13,31398
SWAY_PROFILE,embedding_in,3,4,31400
SWAY_PROFILE,head_in,2,9,31400
SWAY_PROFILE,patch_ready,3,5,31401
SWAY_PROFILE,block0_in,3,3,32025
SWAY_PROFILE,block1_in,2,14,32025
SWAY_PROFILE,embedding_in,3,5,32027
SWAY_PROFILE,head_in,2,10,32027
SWAY_PROFILE,patch_ready,3,6,32028
SWAY_PROFILE,block0_in,3,4,32652
SWAY_PROFILE,block1_in,2,15,32652
SWAY_PROFILE,embedding_in,3,6,32654
SWAY_PROFILE,head_in,2,11,32654
SWAY_PROFILE,patch_ready,3,7,32655
SWAY_PROFILE,block0_in,3,5,33285
SWAY_PROFILE,block1_in,3,0,33285
SWAY_PROFILE,embedding_in,3,7,33287
SWAY_PROFILE,head_in,2,12,33287
SWAY_PROFILE,patch_ready,3,8,33288
SWAY_PROFILE,block0_in,3,6,33912
SWAY_PROFILE,block1_in,3,1,33912
SWAY_PROFILE,embedding_in,3,8,33914
SWAY_PROFILE,head_in,2,13,33914
SWAY_PROFILE,patch_ready,3,9,33915
SWAY_PROFILE,block0_in,3,7,34539
SWAY_PROFILE,block1_in,3,2,34539
SWAY_PROFILE,embedding_in,3,9,34541
SWAY_PROFILE,head_in,2,14,34541
SWAY_PROFILE,patch_ready,3,10,34542
SWAY_PROFILE,block0_in,3,8,35166
SWAY_PROFILE,block1_in,3,3,35166
SWAY_PROFILE,embedding_in,3,10,35168
SWAY_PROFILE,head_in,2,15,35168
SWAY_PROFILE,patch_ready,3,11,35169
SWAY_PROFILE,block0_in,3,9,35799
SWAY_PROFILE,block1_in,3,4,35799
SWAY_PROFILE,embedding_in,3,11,35801
SWAY_PROFILE,head_in,3,0,35801
SWAY_PROFILE,patch_ready,3,12,35802
SWAY_PROFILE,block0_in,3,10,36426
SWAY_PROFILE,block1_in,3,5,36426
SWAY_PROFILE,embedding_in,3,12,36428
SWAY_PROFILE,head_in,3,1,36428
SWAY_PROFILE,patch_ready,3,13,36429
SWAY_PROFILE,block0_in,3,11,37053
SWAY_PROFILE,block1_in,3,6,37053
SWAY_PROFILE,embedding_in,3,13,37055
SWAY_PROFILE,head_in,3,2,37055
SWAY_PROFILE,patch_ready,3,14,37056
SWAY_PROFILE,block0_in,3,12,37680
SWAY_PROFILE,block1_in,3,7,37680
SWAY_PROFILE,embedding_in,3,14,37682
SWAY_PROFILE,head_in,3,3,37682
SWAY_PROFILE,patch_ready,3,15,37683
SWAY_PERF_INPUT_FRAME,5,27918,37973
SWAY_PROFILE,block0_in,3,13,38313
SWAY_PROFILE,block1_in,3,8,38313
SWAY_PROFILE,embedding_in,3,15,38315
SWAY_PROFILE,head_in,3,4,38315
SWAY_PROFILE,patch_ready,4,0,38316
SWAY_PROFILE,head_output_in,2,0,38461
SWAY_PROFILE,block0_in,3,14,38940
SWAY_PROFILE,block1_in,3,9,38940
SWAY_PROFILE,embedding_in,4,0,38942
SWAY_PROFILE,head_in,3,5,38942
SWAY_PROFILE,patch_ready,4,1,38943
SWAY_PROFILE,serialize_in,2,0,39203
SWAY_PERF_OUTPUT,114,8,39205
SWAY_PERF_OUTPUT,115,9,39206
SWAY_PERF_OUTPUT,116,8,39207
SWAY_PERF_OUTPUT,117,9,39208
SWAY_PERF_OUTPUT,118,13,39209
SWAY_PERF_OUTPUT,119,16,39210
SWAY_PERF_OUTPUT,120,15,39211
SWAY_PERF_OUTPUT,121,4,39212
SWAY_PERF_OUTPUT,122,1,39213
SWAY_PERF_OUTPUT,123,0,39214
SWAY_PERF_OUTPUT,124,10,39215
SWAY_PERF_OUTPUT,125,10,39216
SWAY_PERF_OUTPUT,126,8,39217
SWAY_PERF_OUTPUT,127,8,39218
SWAY_PERF_OUTPUT,128,6,39219
SWAY_PERF_OUTPUT,129,4,39220
SWAY_PERF_OUTPUT,130,2,39221
SWAY_PERF_OUTPUT,131,1,39222
SWAY_PERF_OUTPUT,132,9,39223
SWAY_PERF_OUTPUT,133,63,39224
SWAY_PERF_OUTPUT,134,63,39225
SWAY_PERF_OUTPUT,135,63,39226
SWAY_PERF_OUTPUT,136,63,39227
SWAY_PERF_OUTPUT,137,62,39228
SWAY_PERF_OUTPUT,138,62,39229
SWAY_PERF_OUTPUT,139,60,39230
SWAY_PERF_OUTPUT,140,62,39231
SWAY_PERF_OUTPUT,141,64,39232
SWAY_PERF_OUTPUT,142,62,39233
SWAY_PERF_OUTPUT,143,62,39234
SWAY_PERF_OUTPUT,144,62,39235
SWAY_PERF_OUTPUT,145,63,39236
SWAY_PERF_OUTPUT,146,62,39237
SWAY_PERF_OUTPUT,147,62,39238
SWAY_PERF_OUTPUT,148,62,39239
SWAY_PERF_OUTPUT,149,63,39240
SWAY_PERF_OUTPUT,150,59,39241
SWAY_PERF_OUTPUT,151,63,39242
SWAY_PERF_OUTPUT,152,-8,39243
SWAY_PERF_OUTPUT,153,2,39244
SWAY_PERF_OUTPUT,154,13,39245
SWAY_PERF_OUTPUT,155,17,39246
SWAY_PERF_OUTPUT,156,9,39247
SWAY_PERF_OUTPUT,157,2,39248
SWAY_PERF_OUTPUT,158,-4,39249
SWAY_PERF_OUTPUT,159,8,39250
SWAY_PERF_OUTPUT,160,2,39251
SWAY_PERF_OUTPUT,161,-4,39252
SWAY_PERF_OUTPUT,162,-7,39253
SWAY_PERF_OUTPUT,163,-17,39254
SWAY_PERF_OUTPUT,164,-28,39255
SWAY_PERF_OUTPUT,165,-30,39256
SWAY_PERF_OUTPUT,166,-7,39257
SWAY_PERF_OUTPUT,167,-16,39258
SWAY_PERF_OUTPUT,168,-26,39259
SWAY_PERF_OUTPUT,169,-29,39260
SWAY_PERF_OUTPUT,170,10,39261
SWAY_PERF_FRAME,2,39205,39261
SWAY_PROFILE,block0_in,3,15,39567
SWAY_PROFILE,block1_in,3,10,39567
SWAY_PROFILE,embedding_in,4,1,39569
SWAY_PROFILE,head_in,3,6,39569
SWAY_PROFILE,patch_ready,4,2,39570
SWAY_PROFILE,block0_in,4,0,40194
SWAY_PROFILE,block1_in,3,11,40194
SWAY_PROFILE,embedding_in,4,2,40196
SWAY_PROFILE,head_in,3,7,40196
SWAY_PROFILE,patch_ready,4,3,40197
SWAY_PROFILE,block0_in,4,1,40827
SWAY_PROFILE,block1_in,3,12,40827
SWAY_PROFILE,embedding_in,4,3,40829
SWAY_PROFILE,head_in,3,8,40829
SWAY_PROFILE,patch_ready,4,4,40830
SWAY_PROFILE,block0_in,4,2,41454
SWAY_PROFILE,block1_in,3,13,41454
SWAY_PROFILE,embedding_in,4,4,41456
SWAY_PROFILE,head_in,3,9,41456
SWAY_PROFILE,patch_ready,4,5,41457
SWAY_PROFILE,block0_in,4,3,42081
SWAY_PROFILE,block1_in,3,14,42081
SWAY_PROFILE,embedding_in,4,5,42083
SWAY_PROFILE,head_in,3,10,42083
SWAY_PROFILE,patch_ready,4,6,42084
SWAY_PROFILE,block0_in,4,4,42708
SWAY_PROFILE,block1_in,3,15,42708
SWAY_PROFILE,embedding_in,4,6,42710
SWAY_PROFILE,head_in,3,11,42710
SWAY_PROFILE,patch_ready,4,7,42711
SWAY_PROFILE,block0_in,4,5,43341
SWAY_PROFILE,block1_in,4,0,43341
SWAY_PROFILE,embedding_in,4,7,43343
SWAY_PROFILE,head_in,3,12,43343
SWAY_PROFILE,patch_ready,4,8,43344
SWAY_PROFILE,block0_in,4,6,43968
SWAY_PROFILE,block1_in,4,1,43968
SWAY_PROFILE,embedding_in,4,8,43970
SWAY_PROFILE,head_in,3,13,43970
SWAY_PROFILE,patch_ready,4,9,43971
SWAY_PROFILE,block0_in,4,7,44595
SWAY_PROFILE,block1_in,4,2,44595
SWAY_PROFILE,embedding_in,4,9,44597
SWAY_PROFILE,head_in,3,14,44597
SWAY_PROFILE,patch_ready,4,10,44598
SWAY_PROFILE,block0_in,4,8,45222
SWAY_PROFILE,block1_in,4,3,45222
SWAY_PROFILE,embedding_in,4,10,45224
SWAY_PROFILE,head_in,3,15,45224
SWAY_PROFILE,patch_ready,4,11,45225
SWAY_PROFILE,block0_in,4,9,45855
SWAY_PROFILE,block1_in,4,4,45855
SWAY_PROFILE,embedding_in,4,11,45857
SWAY_PROFILE,head_in,4,0,45857
SWAY_PROFILE,patch_ready,4,12,45858
SWAY_PROFILE,block0_in,4,10,46482
SWAY_PROFILE,block1_in,4,5,46482
SWAY_PROFILE,embedding_in,4,12,46484
SWAY_PROFILE,head_in,4,1,46484
SWAY_PROFILE,patch_ready,4,13,46485
SWAY_PROFILE,block0_in,4,11,47109
SWAY_PROFILE,block1_in,4,6,47109
SWAY_PROFILE,embedding_in,4,13,47111
SWAY_PROFILE,head_in,4,2,47111
SWAY_PROFILE,patch_ready,4,14,47112
SWAY_PROFILE,block0_in,4,12,47736
SWAY_PROFILE,block1_in,4,7,47736
SWAY_PROFILE,embedding_in,4,14,47738
SWAY_PROFILE,head_in,4,3,47738
SWAY_PROFILE,patch_ready,4,15,47739
SWAY_PERF_INPUT_FRAME,6,37974,48029
SWAY_PROFILE,block0_in,4,13,48369
SWAY_PROFILE,block1_in,4,8,48369
SWAY_PROFILE,embedding_in,4,15,48371
SWAY_PROFILE,head_in,4,4,48371
SWAY_PROFILE,patch_ready,5,0,48372
SWAY_PROFILE,head_output_in,3,0,48517
SWAY_PROFILE,block0_in,4,14,48996
SWAY_PROFILE,block1_in,4,9,48996
SWAY_PROFILE,embedding_in,5,0,48998
SWAY_PROFILE,head_in,4,5,48998
SWAY_PROFILE,patch_ready,5,1,48999
SWAY_PROFILE,serialize_in,3,0,49259
SWAY_PERF_OUTPUT,171,7,49261
SWAY_PERF_OUTPUT,172,7,49262
SWAY_PERF_OUTPUT,173,6,49263
SWAY_PERF_OUTPUT,174,7,49264
SWAY_PERF_OUTPUT,175,13,49265
SWAY_PERF_OUTPUT,176,17,49266
SWAY_PERF_OUTPUT,177,20,49267
SWAY_PERF_OUTPUT,178,1,49268
SWAY_PERF_OUTPUT,179,-3,49269
SWAY_PERF_OUTPUT,180,-4,49270
SWAY_PERF_OUTPUT,181,10,49271
SWAY_PERF_OUTPUT,182,11,49272
SWAY_PERF_OUTPUT,183,13,49273
SWAY_PERF_OUTPUT,184,13,49274
SWAY_PERF_OUTPUT,185,5,49275
SWAY_PERF_OUTPUT,186,4,49276
SWAY_PERF_OUTPUT,187,2,49277
SWAY_PERF_OUTPUT,188,2,49278
SWAY_PERF_OUTPUT,189,7,49279
SWAY_PERF_OUTPUT,190,62,49280
SWAY_PERF_OUTPUT,191,62,49281
SWAY_PERF_OUTPUT,192,62,49282
SWAY_PERF_OUTPUT,193,61,49283
