SWAY_PERF_BEGIN,1,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PERF_OUTPUT,0,7,18222
SWAY_PERF_OUTPUT,1,7,18223
SWAY_PERF_OUTPUT,2,6,18224
SWAY_PERF_OUTPUT,3,6,18225
SWAY_PERF_OUTPUT,4,12,18226
SWAY_PERF_OUTPUT,5,16,18227
SWAY_PERF_OUTPUT,6,19,18228
SWAY_PERF_OUTPUT,7,1,18229
SWAY_PERF_OUTPUT,8,-2,18230
SWAY_PERF_OUTPUT,9,-3,18231
SWAY_PERF_OUTPUT,10,9,18232
SWAY_PERF_OUTPUT,11,10,18233
SWAY_PERF_OUTPUT,12,11,18234
SWAY_PERF_OUTPUT,13,11,18235
SWAY_PERF_OUTPUT,14,4,18236
SWAY_PERF_OUTPUT,15,2,18237
SWAY_PERF_OUTPUT,16,0,18238
SWAY_PERF_OUTPUT,17,0,18239
SWAY_PERF_OUTPUT,18,7,18240
SWAY_PERF_OUTPUT,19,63,18241
SWAY_PERF_OUTPUT,20,63,18242
SWAY_PERF_OUTPUT,21,63,18243
SWAY_PERF_OUTPUT,22,62,18244
SWAY_PERF_OUTPUT,23,62,18245
SWAY_PERF_OUTPUT,24,63,18246
SWAY_PERF_OUTPUT,25,61,18247
SWAY_PERF_OUTPUT,26,62,18248
SWAY_PERF_OUTPUT,27,63,18249
SWAY_PERF_OUTPUT,28,61,18250
SWAY_PERF_OUTPUT,29,62,18251
SWAY_PERF_OUTPUT,30,62,18252
SWAY_PERF_OUTPUT,31,63,18253
SWAY_PERF_OUTPUT,32,61,18254
SWAY_PERF_OUTPUT,33,62,18255
SWAY_PERF_OUTPUT,34,62,18256
SWAY_PERF_OUTPUT,35,63,18257
SWAY_PERF_OUTPUT,36,60,18258
SWAY_PERF_OUTPUT,37,63,18259
SWAY_PERF_OUTPUT,38,-7,18260
SWAY_PERF_OUTPUT,39,2,18261
SWAY_PERF_OUTPUT,40,13,18262
SWAY_PERF_OUTPUT,41,17,18263
SWAY_PERF_OUTPUT,42,9,18264
SWAY_PERF_OUTPUT,43,5,18265
SWAY_PERF_OUTPUT,44,2,18266
SWAY_PERF_OUTPUT,45,9,18267
SWAY_PERF_OUTPUT,46,2,18268
SWAY_PERF_OUTPUT,47,-4,18269
SWAY_PERF_OUTPUT,48,-7,18270
SWAY_PERF_OUTPUT,49,-17,18271
SWAY_PERF_OUTPUT,50,-28,18272
SWAY_PERF_OUTPUT,51,-29,18273
SWAY_PERF_OUTPUT,52,-7,18274
SWAY_PERF_OUTPUT,53,-16,18275
SWAY_PERF_OUTPUT,54,-27,18276
SWAY_PERF_OUTPUT,55,-29,18277
SWAY_PERF_OUTPUT,56,10,18278
SWAY_PERF_FRAME,0,18222,18278
SWAY_PERF_PASS,1,57,20327,2048
