stage,frame,token,input_cycle,output_cycle,elapsed_cycles
patch_queue,0,0,348,349,1
embedding,0,0,349,601,252
block0,0,0,601,2965,2364
block1,0,0,2965,5329,2364
patch_queue,0,1,371,601,230
embedding,0,1,601,853,252
block0,0,1,853,3555,2702
block1,0,1,3555,5919,2364
patch_queue,0,2,602,853,251
embedding,0,2,853,1105,252
block0,0,2,1105,4145,3040
block1,0,2,4145,6509,2364
patch_queue,0,3,854,1105,251
embedding,0,3,1105,1413,308
block0,0,3,1413,4735,3322
block1,0,3,4735,7099,2364
patch_queue,0,4,1106,1357,251
embedding,0,4,1357,1818,461
block0,0,4,1818,5327,3509
block1,0,4,5327,7691,2364
patch_queue,0,5,1358,1609,251
embedding,0,5,1609,2965,1356
block0,0,5,2965,5917,2952
block1,0,5,5917,8281,2364
patch_queue,0,6,1610,1861,251
embedding,0,6,1861,3555,1694
block0,0,6,3555,6507,2952
block1,0,6,6507,8871,2364
patch_queue,0,7,1862,2967,1105
embedding,0,7,2967,4145,1178
block0,0,7,4145,7097,2952
block1,0,7,7097,9461,2364
patch_queue,0,8,2968,3557,589
embedding,0,8,3557,4735,1178
block0,0,8,4735,7689,2954
block1,0,8,7689,10053,2364
patch_queue,0,9,3558,4147,589
embedding,0,9,4147,5327,1180
block0,0,9,5327,8279,2952
block1,0,9,8279,10643,2364
patch_queue,0,10,4148,4737,589
embedding,0,10,4737,5917,1180
block0,0,10,5917,8869,2952
block1,0,10,8869,11233,2364
patch_queue,0,11,4738,5329,591
embedding,0,11,5329,6507,1178
block0,0,11,6507,9459,2952
block1,0,11,9459,11823,2364
patch_queue,0,12,5330,5919,589
embedding,0,12,5919,7097,1178
block0,0,12,7097,10051,2954
block1,0,12,10051,12415,2364
patch_queue,0,13,5920,6509,589
embedding,0,13,6509,7689,1180
block0,0,13,7689,10641,2952
block1,0,13,10641,13005,2364
patch_queue,0,14,6510,7099,589
embedding,0,14,7099,8279,1180
block0,0,14,8279,11231,2952
block1,0,14,11231,13595,2364
patch_queue,0,15,7100,7691,591
embedding,0,15,7691,8869,1178
block0,0,15,8869,11821,2952
block1,0,15,11821,14185,2364
head_hidden_first_token,0,0,5329,17478,12149
head_hidden_last_token,0,15,14185,17478,3293
head_output,0,0,17478,18220,742
serializer,0,0,18220,18278,58
patch_queue,1,0,7692,8281,589
embedding,1,0,8281,9459,1178
block0,1,0,9459,12413,2954
block1,1,0,12413,14777,2364
patch_queue,1,1,8282,8871,589
embedding,1,1,8871,10051,1180
block0,1,1,10051,13003,2952
block1,1,1,13003,15367,2364
patch_queue,1,2,8872,9461,589
embedding,1,2,9461,10641,1180
block0,1,2,10641,13593,2952
block1,1,2,13593,15957,2364
patch_queue,1,3,9462,10053,591
embedding,1,3,10053,11231,1178
block0,1,3,11231,14183,2952
block1,1,3,14183,16547,2364
patch_queue,1,4,10054,10643,589
embedding,1,4,10643,11821,1178
block0,1,4,11821,14775,2954
block1,1,4,14775,17139,2364
patch_queue,1,5,10644,11233,589
embedding,1,5,11233,12413,1180
block0,1,5,12413,15365,2952
block1,1,5,15365,17729,2364
patch_queue,1,6,11234,11823,589
embedding,1,6,11823,13003,1180
block0,1,6,13003,15955,2952
block1,1,6,15955,18319,2364
patch_queue,1,7,11824,12415,591
embedding,1,7,12415,13593,1178
block0,1,7,13593,16545,2952
block1,1,7,16545,18909,2364
patch_queue,1,8,12416,13005,589
embedding,1,8,13005,14183,1178
block0,1,8,14183,17137,2954
block1,1,8,17137,19501,2364
patch_queue,1,9,13006,13595,589
embedding,1,9,13595,14775,1180
block0,1,9,14775,17727,2952
block1,1,9,17727,20091,2364
patch_queue,1,10,13596,14185,589
embedding,1,10,14185,15365,1180
block0,1,10,15365,18317,2952
block1,1,10,18317,20681,2364
patch_queue,1,11,14186,14777,591
embedding,1,11,14777,15955,1178
block0,1,11,15955,18907,2952
block1,1,11,18907,21271,2364
patch_queue,1,12,14778,15367,589
embedding,1,12,15367,16545,1178
block0,1,12,16545,19499,2954
block1,1,12,19499,21863,2364
patch_queue,1,13,15368,15957,589
embedding,1,13,15957,17137,1180
block0,1,13,17137,20089,2952
block1,1,13,20089,22453,2364
patch_queue,1,14,15958,16547,589
embedding,1,14,16547,17727,1180
block0,1,14,17727,20679,2952
block1,1,14,20679,23043,2364
patch_queue,1,15,16548,17139,591
embedding,1,15,17139,18317,1178
block0,1,15,18317,21269,2952
block1,1,15,21269,23633,2364
head_hidden_first_token,1,0,14777,26926,12149
head_hidden_last_token,1,15,23633,26926,3293
head_output,1,0,26926,27668,742
serializer,1,0,27668,27726,58
patch_queue,2,0,17140,17729,589
embedding,2,0,17729,18907,1178
block0,2,0,18907,21861,2954
block1,2,0,21861,24225,2364
patch_queue,2,1,17730,18319,589
embedding,2,1,18319,19499,1180
block0,2,1,19499,22451,2952
block1,2,1,22451,24815,2364
patch_queue,2,2,18320,18909,589
embedding,2,2,18909,20089,1180
block0,2,2,20089,23041,2952
block1,2,2,23041,25405,2364
patch_queue,2,3,18910,19501,591
embedding,2,3,19501,20679,1178
block0,2,3,20679,23631,2952
block1,2,3,23631,25995,2364
patch_queue,2,4,19502,20091,589
embedding,2,4,20091,21269,1178
block0,2,4,21269,24223,2954
block1,2,4,24223,26587,2364
patch_queue,2,5,20092,20681,589
embedding,2,5,20681,21861,1180
block0,2,5,21861,24813,2952
block1,2,5,24813,27177,2364
patch_queue,2,6,20682,21271,589
embedding,2,6,21271,22451,1180
block0,2,6,22451,25403,2952
block1,2,6,25403,27767,2364
patch_queue,2,7,21272,21863,591
embedding,2,7,21863,23041,1178
block0,2,7,23041,25993,2952
block1,2,7,25993,28357,2364
patch_queue,2,8,21864,22453,589
embedding,2,8,22453,23631,1178
block0,2,8,23631,26585,2954
block1,2,8,26585,28949,2364
patch_queue,2,9,22454,23043,589
embedding,2,9,23043,24223,1180
block0,2,9,24223,27175,2952
block1,2,9,27175,29539,2364
patch_queue,2,10,23044,23633,589
embedding,2,10,23633,24813,1180
block0,2,10,24813,27765,2952
block1,2,10,27765,30129,2364
patch_queue,2,11,23634,24225,591
embedding,2,11,24225,25403,1178
block0,2,11,25403,28355,2952
block1,2,11,28355,30719,2364
patch_queue,2,12,24226,24815,589
embedding,2,12,24815,25993,1178
block0,2,12,25993,28947,2954
block1,2,12,28947,31311,2364
patch_queue,2,13,24816,25405,589
embedding,2,13,25405,26585,1180
block0,2,13,26585,29537,2952
block1,2,13,29537,31901,2364
patch_queue,2,14,25406,25995,589
embedding,2,14,25995,27175,1180
block0,2,14,27175,30127,2952
block1,2,14,30127,32491,2364
patch_queue,2,15,25996,26587,591
embedding,2,15,26587,27765,1178
block0,2,15,27765,30717,2952
block1,2,15,30717,33081,2364
head_hidden_first_token,2,0,24225,36374,12149
head_hidden_last_token,2,15,33081,36374,3293
head_output,2,0,36374,37116,742
serializer,2,0,37116,37174,58
patch_queue,3,0,26588,27177,589
embedding,3,0,27177,28355,1178
block0,3,0,28355,31309,2954
block1,3,0,31309,33673,2364
patch_queue,3,1,27178,27767,589
embedding,3,1,27767,28947,1180
block0,3,1,28947,31899,2952
block1,3,1,31899,34263,2364
patch_queue,3,2,27768,28357,589
embedding,3,2,28357,29537,1180
block0,3,2,29537,32489,2952
block1,3,2,32489,34853,2364
patch_queue,3,3,28358,28949,591
embedding,3,3,28949,30127,1178
block0,3,3,30127,33079,2952
block1,3,3,33079,35443,2364
patch_queue,3,4,28950,29539,589
embedding,3,4,29539,30717,1178
block0,3,4,30717,33671,2954
block1,3,4,33671,36035,2364
patch_queue,3,5,29540,30129,589
embedding,3,5,30129,31309,1180
block0,3,5,31309,34261,2952
block1,3,5,34261,36625,2364
patch_queue,3,6,30130,30719,589
embedding,3,6,30719,31899,1180
block0,3,6,31899,34851,2952
block1,3,6,34851,37215,2364
patch_queue,3,7,30720,31311,591
embedding,3,7,31311,32489,1178
block0,3,7,32489,35441,2952
block1,3,7,35441,37805,2364
patch_queue,3,8,31312,31901,589
embedding,3,8,31901,33079,1178
block0,3,8,33079,36033,2954
block1,3,8,36033,38397,2364
patch_queue,3,9,31902,32491,589
embedding,3,9,32491,33671,1180
block0,3,9,33671,36623,2952
block1,3,9,36623,38987,2364
patch_queue,3,10,32492,33081,589
embedding,3,10,33081,34261,1180
block0,3,10,34261,37213,2952
block1,3,10,37213,39577,2364
patch_queue,3,11,33082,33673,591
embedding,3,11,33673,34851,1178
block0,3,11,34851,37803,2952
block1,3,11,37803,40167,2364
patch_queue,3,12,33674,34263,589
embedding,3,12,34263,35441,1178
block0,3,12,35441,38395,2954
block1,3,12,38395,40759,2364
patch_queue,3,13,34264,34853,589
embedding,3,13,34853,36033,1180
block0,3,13,36033,38985,2952
block1,3,13,38985,41349,2364
patch_queue,3,14,34854,35443,589
embedding,3,14,35443,36623,1180
block0,3,14,36623,39575,2952
block1,3,14,39575,41939,2364
patch_queue,3,15,35444,36035,591
embedding,3,15,36035,37213,1178
block0,3,15,37213,40165,2952
block1,3,15,40165,42529,2364
head_hidden_first_token,3,0,33673,45822,12149
head_hidden_last_token,3,15,42529,45822,3293
head_output,3,0,45822,46564,742
serializer,3,0,46564,46622,58
patch_queue,4,0,36036,36625,589
embedding,4,0,36625,37803,1178
block0,4,0,37803,40757,2954
block1,4,0,40757,43121,2364
patch_queue,4,1,36626,37215,589
embedding,4,1,37215,38395,1180
block0,4,1,38395,41347,2952
block1,4,1,41347,43711,2364
patch_queue,4,2,37216,37805,589
embedding,4,2,37805,38985,1180
block0,4,2,38985,41937,2952
block1,4,2,41937,44301,2364
patch_queue,4,3,37806,38397,591
embedding,4,3,38397,39575,1178
block0,4,3,39575,42527,2952
block1,4,3,42527,44891,2364
patch_queue,4,4,38398,38987,589
embedding,4,4,38987,40165,1178
block0,4,4,40165,43119,2954
block1,4,4,43119,45483,2364
patch_queue,4,5,38988,39577,589
embedding,4,5,39577,40757,1180
block0,4,5,40757,43709,2952
block1,4,5,43709,46073,2364
patch_queue,4,6,39578,40167,589
embedding,4,6,40167,41347,1180
block0,4,6,41347,44299,2952
block1,4,6,44299,46663,2364
patch_queue,4,7,40168,40759,591
embedding,4,7,40759,41937,1178
block0,4,7,41937,44889,2952
block1,4,7,44889,47253,2364
patch_queue,4,8,40760,41349,589
embedding,4,8,41349,42527,1178
block0,4,8,42527,45481,2954
block1,4,8,45481,47845,2364
patch_queue,4,9,41350,41939,589
embedding,4,9,41939,43119,1180
block0,4,9,43119,46071,2952
block1,4,9,46071,48435,2364
patch_queue,4,10,41940,42529,589
embedding,4,10,42529,43709,1180
block0,4,10,43709,46661,2952
block1,4,10,46661,49025,2364
patch_queue,4,11,42530,43121,591
embedding,4,11,43121,44299,1178
block0,4,11,44299,47251,2952
block1,4,11,47251,49615,2364
patch_queue,4,12,43122,43711,589
embedding,4,12,43711,44889,1178
block0,4,12,44889,47843,2954
block1,4,12,47843,50207,2364
patch_queue,4,13,43712,44301,589
embedding,4,13,44301,45481,1180
block0,4,13,45481,48433,2952
block1,4,13,48433,50797,2364
patch_queue,4,14,44302,44891,589
embedding,4,14,44891,46071,1180
block0,4,14,46071,49023,2952
block1,4,14,49023,51387,2364
patch_queue,4,15,44892,45483,591
embedding,4,15,45483,46661,1178
block0,4,15,46661,49613,2952
block1,4,15,49613,51977,2364
head_hidden_first_token,4,0,43121,55270,12149
head_hidden_last_token,4,15,51977,55270,3293
head_output,4,0,55270,56012,742
serializer,4,0,56012,56070,58
patch_queue,5,0,45484,46073,589
embedding,5,0,46073,47251,1178
