SWAY_PERF_BEGIN,64,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PERF_INPUT_FRAME,1,322,641
SWAY_PERF_INPUT_FRAME,2,642,10679
SWAY_PERF_OUTPUT,0,7,25195
SWAY_PERF_OUTPUT,1,7,25196
SWAY_PERF_OUTPUT,2,6,25197
SWAY_PERF_OUTPUT,3,6,25198
SWAY_PERF_OUTPUT,4,12,25199
SWAY_PERF_OUTPUT,5,16,25200
SWAY_PERF_OUTPUT,6,19,25201
SWAY_PERF_OUTPUT,7,1,25202
SWAY_PERF_OUTPUT,8,-2,25203
SWAY_PERF_OUTPUT,9,-3,25204
SWAY_PERF_OUTPUT,10,9,25205
SWAY_PERF_OUTPUT,11,10,25206
SWAY_PERF_OUTPUT,12,11,25207
SWAY_PERF_OUTPUT,13,11,25208
SWAY_PERF_OUTPUT,14,4,25209
SWAY_PERF_OUTPUT,15,2,25210
SWAY_PERF_OUTPUT,16,0,25211
SWAY_PERF_OUTPUT,17,0,25212
SWAY_PERF_OUTPUT,18,7,25213
SWAY_PERF_OUTPUT,19,63,25214
SWAY_PERF_OUTPUT,20,63,25215
SWAY_PERF_OUTPUT,21,63,25216
SWAY_PERF_OUTPUT,22,62,25217
SWAY_PERF_OUTPUT,23,62,25218
SWAY_PERF_OUTPUT,24,63,25219
SWAY_PERF_OUTPUT,25,61,25220
SWAY_PERF_OUTPUT,26,62,25221
SWAY_PERF_OUTPUT,27,63,25222
SWAY_PERF_OUTPUT,28,61,25223
SWAY_PERF_OUTPUT,29,62,25224
SWAY_PERF_OUTPUT,30,62,25225
SWAY_PERF_OUTPUT,31,63,25226
SWAY_PERF_OUTPUT,32,61,25227
SWAY_PERF_OUTPUT,33,62,25228
SWAY_PERF_OUTPUT,34,62,25229
SWAY_PERF_OUTPUT,35,63,25230
SWAY_PERF_OUTPUT,36,60,25231
SWAY_PERF_OUTPUT,37,63,25232
SWAY_PERF_OUTPUT,38,-7,25233
SWAY_PERF_OUTPUT,39,2,25234
SWAY_PERF_OUTPUT,40,13,25235
SWAY_PERF_OUTPUT,41,17,25236
SWAY_PERF_OUTPUT,42,9,25237
SWAY_PERF_OUTPUT,43,5,25238
SWAY_PERF_OUTPUT,44,2,25239
SWAY_PERF_OUTPUT,45,9,25240
SWAY_PERF_OUTPUT,46,2,25241
SWAY_PERF_OUTPUT,47,-4,25242
SWAY_PERF_OUTPUT,48,-7,25243
SWAY_PERF_OUTPUT,49,-17,25244
SWAY_PERF_OUTPUT,50,-28,25245
SWAY_PERF_OUTPUT,51,-29,25246
SWAY_PERF_OUTPUT,52,-7,25247
SWAY_PERF_OUTPUT,53,-16,25248
SWAY_PERF_OUTPUT,54,-27,25249
SWAY_PERF_OUTPUT,55,-29,25250
SWAY_PERF_OUTPUT,56,10,25251
SWAY_PERF_FRAME,0,25195,25251
SWAY_PERF_INPUT_FRAME,3,10680,26471
SWAY_PERF_OUTPUT,57,7,40987
SWAY_PERF_OUTPUT,58,8,40988
SWAY_PERF_OUTPUT,59,8,40989
SWAY_PERF_OUTPUT,60,8,40990
SWAY_PERF_OUTPUT,61,13,40991
SWAY_PERF_OUTPUT,62,17,40992
SWAY_PERF_OUTPUT,63,20,40993
SWAY_PERF_OUTPUT,64,2,40994
SWAY_PERF_OUTPUT,65,-2,40995
SWAY_PERF_OUTPUT,66,-5,40996
