stage,frame,token,input_cycle,output_cycle,elapsed_cycles
patch_queue,0,0,348,349,1
embedding,0,0,349,601,252
block0,0,0,601,3477,2876
block1,0,0,3477,6353,2876
patch_queue,0,1,371,601,230
embedding,0,1,601,853,252
block0,0,1,853,4464,3611
block1,0,1,4464,7340,2876
patch_queue,0,2,602,853,251
embedding,0,2,853,1105,252
block0,0,2,1105,5451,4346
block1,0,2,5451,8327,2876
patch_queue,0,3,854,1105,251
embedding,0,3,1105,1413,308
block0,0,3,1413,6438,5025
block1,0,3,6438,9314,2876
patch_queue,0,4,1106,1357,251
embedding,0,4,1357,1997,640
block0,0,4,1997,7425,5428
block1,0,4,7425,10301,2876
patch_queue,0,5,1358,1609,251
embedding,0,5,1609,3477,1868
block0,0,5,3477,8412,4935
block1,0,5,8412,11288,2876
patch_queue,0,6,1610,1999,389
embedding,0,6,1999,4464,2465
block0,0,6,4464,9399,4935
block1,0,6,9399,12275,2876
patch_queue,0,7,2000,3479,1479
embedding,0,7,3479,5451,1972
block0,0,7,5451,10386,4935
block1,0,7,10386,13262,2876
patch_queue,0,8,3480,4466,986
embedding,0,8,4466,6438,1972
block0,0,8,6438,11373,4935
block1,0,8,11373,14249,2876
patch_queue,0,9,4467,5453,986
embedding,0,9,5453,7425,1972
block0,0,9,7425,12360,4935
block1,0,9,12360,15236,2876
patch_queue,0,10,5454,6440,986
embedding,0,10,6440,8412,1972
block0,0,10,8412,13347,4935
block1,0,10,13347,16223,2876
patch_queue,0,11,6441,7427,986
embedding,0,11,7427,9399,1972
block0,0,11,9399,14334,4935
block1,0,11,14334,17210,2876
patch_queue,0,12,7428,8414,986
embedding,0,12,8414,10386,1972
block0,0,12,10386,15321,4935
block1,0,12,15321,18197,2876
patch_queue,0,13,8415,9401,986
embedding,0,13,9401,11373,1972
block0,0,13,11373,16308,4935
block1,0,13,16308,19184,2876
patch_queue,0,14,9402,10388,986
embedding,0,14,10388,12360,1972
block0,0,14,12360,17295,4935
block1,0,14,17295,20171,2876
patch_queue,0,15,10389,11375,986
embedding,0,15,11375,13347,1972
block0,0,15,13347,18282,4935
block1,0,15,18282,21158,2876
head_hidden_first_token,0,0,6353,24451,18098
head_hidden_last_token,0,15,21158,24451,3293
head_output,0,0,24451,25193,742
serializer,0,0,25193,25251,58
patch_queue,1,0,11376,12362,986
embedding,1,0,12362,14334,1972
block0,1,0,14334,19269,4935
block1,1,0,19269,22145,2876
patch_queue,1,1,12363,13349,986
embedding,1,1,13349,15321,1972
block0,1,1,15321,20256,4935
block1,1,1,20256,23132,2876
patch_queue,1,2,13350,14336,986
embedding,1,2,14336,16308,1972
block0,1,2,16308,21243,4935
block1,1,2,21243,24119,2876
patch_queue,1,3,14337,15323,986
embedding,1,3,15323,17295,1972
block0,1,3,17295,22230,4935
block1,1,3,22230,25106,2876
patch_queue,1,4,15324,16310,986
embedding,1,4,16310,18282,1972
block0,1,4,18282,23217,4935
block1,1,4,23217,26093,2876
patch_queue,1,5,16311,17297,986
embedding,1,5,17297,19269,1972
block0,1,5,19269,24204,4935
block1,1,5,24204,27080,2876
patch_queue,1,6,17298,18284,986
embedding,1,6,18284,20256,1972
block0,1,6,20256,25191,4935
block1,1,6,25191,28067,2876
patch_queue,1,7,18285,19271,986
embedding,1,7,19271,21243,1972
block0,1,7,21243,26178,4935
block1,1,7,26178,29054,2876
patch_queue,1,8,19272,20258,986
embedding,1,8,20258,22230,1972
block0,1,8,22230,27165,4935
block1,1,8,27165,30041,2876
patch_queue,1,9,20259,21245,986
embedding,1,9,21245,23217,1972
block0,1,9,23217,28152,4935
block1,1,9,28152,31028,2876
patch_queue,1,10,21246,22232,986
embedding,1,10,22232,24204,1972
block0,1,10,24204,29139,4935
block1,1,10,29139,32015,2876
patch_queue,1,11,22233,23219,986
embedding,1,11,23219,25191,1972
block0,1,11,25191,30126,4935
block1,1,11,30126,33002,2876
patch_queue,1,12,23220,24206,986
embedding,1,12,24206,26178,1972
block0,1,12,26178,31113,4935
block1,1,12,31113,33989,2876
patch_queue,1,13,24207,25193,986
embedding,1,13,25193,27165,1972
block0,1,13,27165,32100,4935
block1,1,13,32100,34976,2876
patch_queue,1,14,25194,26180,986
embedding,1,14,26180,28152,1972
block0,1,14,28152,33087,4935
block1,1,14,33087,35963,2876
patch_queue,1,15,26181,27167,986
embedding,1,15,27167,29139,1972
block0,1,15,29139,34074,4935
block1,1,15,34074,36950,2876
head_hidden_first_token,1,0,22145,40243,18098
head_hidden_last_token,1,15,36950,40243,3293
head_output,1,0,40243,40985,742
serializer,1,0,40985,41043,58
patch_queue,2,0,27168,28154,986
embedding,2,0,28154,30126,1972
block0,2,0,30126,35061,4935
block1,2,0,35061,37937,2876
patch_queue,2,1,28155,29141,986
embedding,2,1,29141,31113,1972
block0,2,1,31113,36048,4935
block1,2,1,36048,38924,2876
patch_queue,2,2,29142,30128,986
embedding,2,2,30128,32100,1972
block0,2,2,32100,37035,4935
block1,2,2,37035,39911,2876
patch_queue,2,3,30129,31115,986
embedding,2,3,31115,33087,1972
block0,2,3,33087,38022,4935
block1,2,3,38022,40898,2876
patch_queue,2,4,31116,32102,986
embedding,2,4,32102,34074,1972
block0,2,4,34074,39009,4935
block1,2,4,39009,41885,2876
patch_queue,2,5,32103,33089,986
embedding,2,5,33089,35061,1972
block0,2,5,35061,39996,4935
block1,2,5,39996,42872,2876
patch_queue,2,6,33090,34076,986
embedding,2,6,34076,36048,1972
block0,2,6,36048,40983,4935
block1,2,6,40983,43859,2876
patch_queue,2,7,34077,35063,986
embedding,2,7,35063,37035,1972
block0,2,7,37035,41970,4935
block1,2,7,41970,44846,2876
patch_queue,2,8,35064,36050,986
embedding,2,8,36050,38022,1972
block0,2,8,38022,42957,4935
block1,2,8,42957,45833,2876
patch_queue,2,9,36051,37037,986
embedding,2,9,37037,39009,1972
block0,2,9,39009,43944,4935
block1,2,9,43944,46820,2876
patch_queue,2,10,37038,38024,986
embedding,2,10,38024,39996,1972
block0,2,10,39996,44931,4935
block1,2,10,44931,47807,2876
patch_queue,2,11,38025,39011,986
embedding,2,11,39011,40983,1972
block0,2,11,40983,45918,4935
block1,2,11,45918,48794,2876
patch_queue,2,12,39012,39998,986
embedding,2,12,39998,41970,1972
block0,2,12,41970,46905,4935
block1,2,12,46905,49781,2876
patch_queue,2,13,39999,40985,986
embedding,2,13,40985,42957,1972
block0,2,13,42957,47892,4935
block1,2,13,47892,50768,2876
patch_queue,2,14,40986,41972,986
embedding,2,14,41972,43944,1972
block0,2,14,43944,48879,4935
block1,2,14,48879,51755,2876
patch_queue,2,15,41973,42959,986
embedding,2,15,42959,44931,1972
block0,2,15,44931,49866,4935
block1,2,15,49866,52742,2876
head_hidden_first_token,2,0,37937,56035,18098
head_hidden_last_token,2,15,52742,56035,3293
head_output,2,0,56035,56777,742
serializer,2,0,56777,56835,58
patch_queue,3,0,42960,43946,986
embedding,3,0,43946,45918,1972
block0,3,0,45918,50853,4935
block1,3,0,50853,53729,2876
patch_queue,3,1,43947,44933,986
embedding,3,1,44933,46905,1972
block0,3,1,46905,51840,4935
block1,3,1,51840,54716,2876
patch_queue,3,2,44934,45920,986
embedding,3,2,45920,47892,1972
block0,3,2,47892,52827,4935
block1,3,2,52827,55703,2876
patch_queue,3,3,45921,46907,986
embedding,3,3,46907,48879,1972
block0,3,3,48879,53814,4935
block1,3,3,53814,56690,2876
patch_queue,3,4,46908,47894,986
embedding,3,4,47894,49866,1972
block0,3,4,49866,54801,4935
block1,3,4,54801,57677,2876
patch_queue,3,5,47895,48881,986
embedding,3,5,48881,50853,1972
block0,3,5,50853,55788,4935
block1,3,5,55788,58664,2876
patch_queue,3,6,48882,49868,986
embedding,3,6,49868,51840,1972
block0,3,6,51840,56775,4935
block1,3,6,56775,59651,2876
patch_queue,3,7,49869,50855,986
embedding,3,7,50855,52827,1972
block0,3,7,52827,57762,4935
block1,3,7,57762,60638,2876
patch_queue,3,8,50856,51842,986
embedding,3,8,51842,53814,1972
block0,3,8,53814,58749,4935
block1,3,8,58749,61625,2876
patch_queue,3,9,51843,52829,986
embedding,3,9,52829,54801,1972
block0,3,9,54801,59736,4935
block1,3,9,59736,62612,2876
patch_queue,3,10,52830,53816,986
embedding,3,10,53816,55788,1972
block0,3,10,55788,60723,4935
block1,3,10,60723,63599,2876
patch_queue,3,11,53817,54803,986
embedding,3,11,54803,56775,1972
block0,3,11,56775,61710,4935
block1,3,11,61710,64586,2876
patch_queue,3,12,54804,55790,986
embedding,3,12,55790,57762,1972
block0,3,12,57762,62697,4935
block1,3,12,62697,65573,2876
patch_queue,3,13,55791,56777,986
embedding,3,13,56777,58749,1972
block0,3,13,58749,63684,4935
block1,3,13,63684,66560,2876
patch_queue,3,14,56778,57764,986
embedding,3,14,57764,59736,1972
block0,3,14,59736,64671,4935
block1,3,14,64671,67547,2876
patch_queue,3,15,57765,58751,986
embedding,3,15,58751,60723,1972
block0,3,15,60723,65658,4935
block1,3,15,65658,68534,2876
head_hidden_first_token,3,0,53729,71827,18098
head_hidden_last_token,3,15,68534,71827,3293
head_output,3,0,71827,72569,742
serializer,3,0,72569,72627,58
patch_queue,4,0,58752,59738,986
embedding,4,0,59738,61710,1972
block0,4,0,61710,66645,4935
block1,4,0,66645,69521,2876
patch_queue,4,1,59739,60725,986
embedding,4,1,60725,62697,1972
block0,4,1,62697,67632,4935
block1,4,1,67632,70508,2876
patch_queue,4,2,60726,61712,986
embedding,4,2,61712,63684,1972
block0,4,2,63684,68619,4935
block1,4,2,68619,71495,2876
patch_queue,4,3,61713,62699,986
embedding,4,3,62699,64671,1972
block0,4,3,64671,69606,4935
block1,4,3,69606,72482,2876
patch_queue,4,4,62700,63686,986
embedding,4,4,63686,65658,1972
block0,4,4,65658,70593,4935
block1,4,4,70593,73469,2876
patch_queue,4,5,63687,64673,986
embedding,4,5,64673,66645,1972
block0,4,5,66645,71580,4935
block1,4,5,71580,74456,2876
patch_queue,4,6,64674,65660,986
embedding,4,6,65660,67632,1972
block0,4,6,67632,72567,4935
block1,4,6,72567,75443,2876
patch_queue,4,7,65661,66647,986
embedding,4,7,66647,68619,1972
block0,4,7,68619,73554,4935
block1,4,7,73554,76430,2876
patch_queue,4,8,66648,67634,986
embedding,4,8,67634,69606,1972
block0,4,8,69606,74541,4935
block1,4,8,74541,77417,2876
patch_queue,4,9,67635,68621,986
embedding,4,9,68621,70593,1972
block0,4,9,70593,75528,4935
block1,4,9,75528,78404,2876
patch_queue,4,10,68622,69608,986
embedding,4,10,69608,71580,1972
block0,4,10,71580,76515,4935
block1,4,10,76515,79391,2876
patch_queue,4,11,69609,70595,986
embedding,4,11,70595,72567,1972
block0,4,11,72567,77502,4935
block1,4,11,77502,80378,2876
patch_queue,4,12,70596,71582,986
embedding,4,12,71582,73554,1972
block0,4,12,73554,78489,4935
block1,4,12,78489,81365,2876
patch_queue,4,13,71583,72569,986
embedding,4,13,72569,74541,1972
block0,4,13,74541,79476,4935
block1,4,13,79476,82352,2876
patch_queue,4,14,72570,73556,986
embedding,4,14,73556,75528,1972
block0,4,14,75528,80463,4935
block1,4,14,80463,83339,2876
patch_queue,4,15,73557,74543,986
embedding,4,15,74543,76515,1972
block0,4,15,76515,81450,4935
block1,4,15,81450,84326,2876
head_hidden_first_token,4,0,69521,87619,18098
head_hidden_last_token,4,15,84326,87619,3293
head_output,4,0,87619,88361,742
serializer,4,0,88361,88419,58
patch_queue,5,0,74544,75530,986
embedding,5,0,75530,77502,1972
