SWAY_PERF_BEGIN,64,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PROFILE,patch_ready,0,0,348
SWAY_PROFILE,embedding_in,0,0,349
SWAY_PROFILE,patch_ready,0,1,371
SWAY_PROFILE,embedding_in,0,1,601
SWAY_PROFILE,block0_in,0,0,601
SWAY_PROFILE,patch_ready,0,2,602
SWAY_PERF_INPUT_FRAME,1,322,641
SWAY_PROFILE,embedding_in,0,2,853
SWAY_PROFILE,block0_in,0,1,853
SWAY_PROFILE,patch_ready,0,3,854
SWAY_PROFILE,embedding_in,0,3,1105
SWAY_PROFILE,block0_in,0,2,1105
SWAY_PROFILE,patch_ready,0,4,1106
SWAY_PROFILE,embedding_in,0,4,1357
SWAY_PROFILE,patch_ready,0,5,1358
SWAY_PROFILE,block0_in,0,3,1413
SWAY_PROFILE,embedding_in,0,5,1609
SWAY_PROFILE,patch_ready,0,6,1610
SWAY_PROFILE,block0_in,0,4,1997
SWAY_PROFILE,embedding_in,0,6,1999
SWAY_PROFILE,patch_ready,0,7,2000
SWAY_PROFILE,block0_in,0,5,3477
SWAY_PROFILE,block1_in,0,0,3477
SWAY_PROFILE,embedding_in,0,7,3479
SWAY_PROFILE,patch_ready,0,8,3480
SWAY_PROFILE,block0_in,0,6,4464
SWAY_PROFILE,block1_in,0,1,4464
SWAY_PROFILE,embedding_in,0,8,4466
SWAY_PROFILE,patch_ready,0,9,4467
SWAY_PROFILE,block0_in,0,7,5451
SWAY_PROFILE,block1_in,0,2,5451
SWAY_PROFILE,embedding_in,0,9,5453
SWAY_PROFILE,patch_ready,0,10,5454
SWAY_PROFILE,head_in,0,0,6353
SWAY_PROFILE,block0_in,0,8,6438
SWAY_PROFILE,block1_in,0,3,6438
SWAY_PROFILE,embedding_in,0,10,6440
SWAY_PROFILE,patch_ready,0,11,6441
SWAY_PROFILE,head_in,0,1,7340
SWAY_PROFILE,block0_in,0,9,7425
SWAY_PROFILE,block1_in,0,4,7425
SWAY_PROFILE,embedding_in,0,11,7427
SWAY_PROFILE,patch_ready,0,12,7428
SWAY_PROFILE,head_in,0,2,8327
SWAY_PROFILE,block0_in,0,10,8412
SWAY_PROFILE,block1_in,0,5,8412
SWAY_PROFILE,embedding_in,0,12,8414
SWAY_PROFILE,patch_ready,0,13,8415
SWAY_PROFILE,head_in,0,3,9314
SWAY_PROFILE,block0_in,0,11,9399
SWAY_PROFILE,block1_in,0,6,9399
SWAY_PROFILE,embedding_in,0,13,9401
SWAY_PROFILE,patch_ready,0,14,9402
SWAY_PROFILE,head_in,0,4,10301
SWAY_PROFILE,block0_in,0,12,10386
SWAY_PROFILE,block1_in,0,7,10386
SWAY_PROFILE,embedding_in,0,14,10388
SWAY_PROFILE,patch_ready,0,15,10389
SWAY_PERF_INPUT_FRAME,2,642,10679
SWAY_PROFILE,head_in,0,5,11288
SWAY_PROFILE,block0_in,0,13,11373
SWAY_PROFILE,block1_in,0,8,11373
SWAY_PROFILE,embedding_in,0,15,11375
SWAY_PROFILE,patch_ready,1,0,11376
SWAY_PROFILE,head_in,0,6,12275
SWAY_PROFILE,block0_in,0,14,12360
SWAY_PROFILE,block1_in,0,9,12360
SWAY_PROFILE,embedding_in,1,0,12362
SWAY_PROFILE,patch_ready,1,1,12363
SWAY_PROFILE,head_in,0,7,13262
SWAY_PROFILE,block0_in,0,15,13347
SWAY_PROFILE,block1_in,0,10,13347
SWAY_PROFILE,embedding_in,1,1,13349
SWAY_PROFILE,patch_ready,1,2,13350
SWAY_PROFILE,head_in,0,8,14249
SWAY_PROFILE,block0_in,1,0,14334
SWAY_PROFILE,block1_in,0,11,14334
SWAY_PROFILE,embedding_in,1,2,14336
SWAY_PROFILE,patch_ready,1,3,14337
SWAY_PROFILE,head_in,0,9,15236
SWAY_PROFILE,block0_in,1,1,15321
SWAY_PROFILE,block1_in,0,12,15321
SWAY_PROFILE,embedding_in,1,3,15323
SWAY_PROFILE,patch_ready,1,4,15324
SWAY_PROFILE,head_in,0,10,16223
SWAY_PROFILE,block0_in,1,2,16308
SWAY_PROFILE,block1_in,0,13,16308
SWAY_PROFILE,embedding_in,1,4,16310
SWAY_PROFILE,patch_ready,1,5,16311
SWAY_PROFILE,head_in,0,11,17210
SWAY_PROFILE,block0_in,1,3,17295
SWAY_PROFILE,block1_in,0,14,17295
SWAY_PROFILE,embedding_in,1,5,17297
SWAY_PROFILE,patch_ready,1,6,17298
SWAY_PROFILE,head_in,0,12,18197
SWAY_PROFILE,block0_in,1,4,18282
SWAY_PROFILE,block1_in,0,15,18282
SWAY_PROFILE,embedding_in,1,6,18284
SWAY_PROFILE,patch_ready,1,7,18285
SWAY_PROFILE,head_in,0,13,19184
SWAY_PROFILE,block0_in,1,5,19269
SWAY_PROFILE,block1_in,1,0,19269
SWAY_PROFILE,embedding_in,1,7,19271
SWAY_PROFILE,patch_ready,1,8,19272
SWAY_PROFILE,head_in,0,14,20171
SWAY_PROFILE,block0_in,1,6,20256
SWAY_PROFILE,block1_in,1,1,20256
SWAY_PROFILE,embedding_in,1,8,20258
SWAY_PROFILE,patch_ready,1,9,20259
SWAY_PROFILE,head_in,0,15,21158
SWAY_PROFILE,block0_in,1,7,21243
SWAY_PROFILE,block1_in,1,2,21243
SWAY_PROFILE,embedding_in,1,9,21245
SWAY_PROFILE,patch_ready,1,10,21246
SWAY_PROFILE,head_in,1,0,22145
SWAY_PROFILE,block0_in,1,8,22230
SWAY_PROFILE,block1_in,1,3,22230
SWAY_PROFILE,embedding_in,1,10,22232
SWAY_PROFILE,patch_ready,1,11,22233
SWAY_PROFILE,head_in,1,1,23132
SWAY_PROFILE,block0_in,1,9,23217
SWAY_PROFILE,block1_in,1,4,23217
SWAY_PROFILE,embedding_in,1,11,23219
SWAY_PROFILE,patch_ready,1,12,23220
SWAY_PROFILE,head_in,1,2,24119
SWAY_PROFILE,block0_in,1,10,24204
SWAY_PROFILE,block1_in,1,5,24204
SWAY_PROFILE,embedding_in,1,12,24206
SWAY_PROFILE,patch_ready,1,13,24207
SWAY_PROFILE,head_output_in,0,0,24451
SWAY_PROFILE,head_in,1,3,25106
SWAY_PROFILE,block0_in,1,11,25191
SWAY_PROFILE,block1_in,1,6,25191
SWAY_PROFILE,embedding_in,1,13,25193
SWAY_PROFILE,serialize_in,0,0,25193
SWAY_PROFILE,patch_ready,1,14,25194
SWAY_PERF_OUTPUT,0,7,25195
SWAY_PERF_OUTPUT,1,7,25196
SWAY_PERF_OUTPUT,2,6,25197
SWAY_PERF_OUTPUT,3,6,25198
SWAY_PERF_OUTPUT,4,12,25199
SWAY_PERF_OUTPUT,5,16,25200
SWAY_PERF_OUTPUT,6,19,25201
SWAY_PERF_OUTPUT,7,1,25202
SWAY_PERF_OUTPUT,8,-2,25203
SWAY_PERF_OUTPUT,9,-3,25204
SWAY_PERF_OUTPUT,10,9,25205
SWAY_PERF_OUTPUT,11,10,25206
SWAY_PERF_OUTPUT,12,11,25207
SWAY_PERF_OUTPUT,13,11,25208
SWAY_PERF_OUTPUT,14,4,25209
SWAY_PERF_OUTPUT,15,2,25210
SWAY_PERF_OUTPUT,16,0,25211
SWAY_PERF_OUTPUT,17,0,25212
SWAY_PERF_OUTPUT,18,7,25213
SWAY_PERF_OUTPUT,19,63,25214
SWAY_PERF_OUTPUT,20,63,25215
SWAY_PERF_OUTPUT,21,63,25216
SWAY_PERF_OUTPUT,22,62,25217
SWAY_PERF_OUTPUT,23,62,25218
SWAY_PERF_OUTPUT,24,63,25219
SWAY_PERF_OUTPUT,25,61,25220
SWAY_PERF_OUTPUT,26,62,25221
SWAY_PERF_OUTPUT,27,63,25222
SWAY_PERF_OUTPUT,28,61,25223
SWAY_PERF_OUTPUT,29,62,25224
SWAY_PERF_OUTPUT,30,62,25225
SWAY_PERF_OUTPUT,31,63,25226
SWAY_PERF_OUTPUT,32,61,25227
SWAY_PERF_OUTPUT,33,62,25228
SWAY_PERF_OUTPUT,34,62,25229
SWAY_PERF_OUTPUT,35,63,25230
SWAY_PERF_OUTPUT,36,60,25231
SWAY_PERF_OUTPUT,37,63,25232
SWAY_PERF_OUTPUT,38,-7,25233
SWAY_PERF_OUTPUT,39,2,25234
SWAY_PERF_OUTPUT,40,13,25235
SWAY_PERF_OUTPUT,41,17,25236
SWAY_PERF_OUTPUT,42,9,25237
SWAY_PERF_OUTPUT,43,5,25238
SWAY_PERF_OUTPUT,44,2,25239
SWAY_PERF_OUTPUT,45,9,25240
SWAY_PERF_OUTPUT,46,2,25241
SWAY_PERF_OUTPUT,47,-4,25242
SWAY_PERF_OUTPUT,48,-7,25243
SWAY_PERF_OUTPUT,49,-17,25244
SWAY_PERF_OUTPUT,50,-28,25245
SWAY_PERF_OUTPUT,51,-29,25246
SWAY_PERF_OUTPUT,52,-7,25247
SWAY_PERF_OUTPUT,53,-16,25248
SWAY_PERF_OUTPUT,54,-27,25249
SWAY_PERF_OUTPUT,55,-29,25250
SWAY_PERF_OUTPUT,56,10,25251
SWAY_PERF_FRAME,0,25195,25251
SWAY_PROFILE,head_in,1,4,26093
SWAY_PROFILE,block0_in,1,12,26178
SWAY_PROFILE,block1_in,1,7,26178
SWAY_PROFILE,embedding_in,1,14,26180
SWAY_PROFILE,patch_ready,1,15,26181
SWAY_PERF_INPUT_FRAME,3,10680,26471
SWAY_PROFILE,head_in,1,5,27080
SWAY_PROFILE,block0_in,1,13,27165
SWAY_PROFILE,block1_in,1,8,27165
SWAY_PROFILE,embedding_in,1,15,27167
SWAY_PROFILE,patch_ready,2,0,27168
SWAY_PROFILE,head_in,1,6,28067
SWAY_PROFILE,block0_in,1,14,28152
SWAY_PROFILE,block1_in,1,9,28152
SWAY_PROFILE,embedding_in,2,0,28154
SWAY_PROFILE,patch_ready,2,1,28155
SWAY_PROFILE,head_in,1,7,29054
SWAY_PROFILE,block0_in,1,15,29139
SWAY_PROFILE,block1_in,1,10,29139
SWAY_PROFILE,embedding_in,2,1,29141
SWAY_PROFILE,patch_ready,2,2,29142
SWAY_PROFILE,head_in,1,8,30041
SWAY_PROFILE,block0_in,2,0,30126
SWAY_PROFILE,block1_in,1,11,30126
SWAY_PROFILE,embedding_in,2,2,30128
SWAY_PROFILE,patch_ready,2,3,30129
SWAY_PROFILE,head_in,1,9,31028
SWAY_PROFILE,block0_in,2,1,31113
SWAY_PROFILE,block1_in,1,12,31113
SWAY_PROFILE,embedding_in,2,3,31115
SWAY_PROFILE,patch_ready,2,4,31116
SWAY_PROFILE,head_in,1,10,32015
SWAY_PROFILE,block0_in,2,2,32100
SWAY_PROFILE,block1_in,1,13,32100
SWAY_PROFILE,embedding_in,2,4,32102
SWAY_PROFILE,patch_ready,2,5,32103
SWAY_PROFILE,head_in,1,11,33002
SWAY_PROFILE,block0_in,2,3,33087
SWAY_PROFILE,block1_in,1,14,33087
SWAY_PROFILE,embedding_in,2,5,33089
SWAY_PROFILE,patch_ready,2,6,33090
SWAY_PROFILE,head_in,1,12,33989
SWAY_PROFILE,block0_in,2,4,34074
SWAY_PROFILE,block1_in,1,15,34074
SWAY_PROFILE,embedding_in,2,6,34076
SWAY_PROFILE,patch_ready,2,7,34077
SWAY_PROFILE,head_in,1,13,34976
SWAY_PROFILE,block0_in,2,5,35061
SWAY_PROFILE,block1_in,2,0,35061
SWAY_PROFILE,embedding_in,2,7,35063
SWAY_PROFILE,patch_ready,2,8,35064
SWAY_PROFILE,head_in,1,14,35963
SWAY_PROFILE,block0_in,2,6,36048
SWAY_PROFILE,block1_in,2,1,36048
SWAY_PROFILE,embedding_in,2,8,36050
SWAY_PROFILE,patch_ready,2,9,36051
SWAY_PROFILE,head_in,1,15,36950
SWAY_PROFILE,block0_in,2,7,37035
SWAY_PROFILE,block1_in,2,2,37035
SWAY_PROFILE,embedding_in,2,9,37037
SWAY_PROFILE,patch_ready,2,10,37038
SWAY_PROFILE,head_in,2,0,37937
SWAY_PROFILE,block0_in,2,8,38022
SWAY_PROFILE,block1_in,2,3,38022
SWAY_PROFILE,embedding_in,2,10,38024
SWAY_PROFILE,patch_ready,2,11,38025
SWAY_PROFILE,head_in,2,1,38924
SWAY_PROFILE,block0_in,2,9,39009
SWAY_PROFILE,block1_in,2,4,39009
SWAY_PROFILE,embedding_in,2,11,39011
SWAY_PROFILE,patch_ready,2,12,39012
SWAY_PROFILE,head_in,2,2,39911
SWAY_PROFILE,block0_in,2,10,39996
SWAY_PROFILE,block1_in,2,5,39996
SWAY_PROFILE,embedding_in,2,12,39998
SWAY_PROFILE,patch_ready,2,13,39999
SWAY_PROFILE,head_output_in,1,0,40243
SWAY_PROFILE,head_in,2,3,40898
SWAY_PROFILE,block0_in,2,11,40983
SWAY_PROFILE,block1_in,2,6,40983
SWAY_PROFILE,embedding_in,2,13,40985
SWAY_PROFILE,serialize_in,1,0,40985
SWAY_PROFILE,patch_ready,2,14,40986
SWAY_PERF_OUTPUT,57,7,40987
SWAY_PERF_OUTPUT,58,8,40988
SWAY_PERF_OUTPUT,59,8,40989
SWAY_PERF_OUTPUT,60,8,40990
SWAY_PERF_OUTPUT,61,13,40991
SWAY_PERF_OUTPUT,62,17,40992
SWAY_PERF_OUTPUT,63,20,40993
SWAY_PERF_OUTPUT,64,2,40994
SWAY_PERF_OUTPUT,65,-2,40995
SWAY_PERF_OUTPUT,66,-5,40996
SWAY_PERF_OUTPUT,67,10,40997
SWAY_PERF_OUTPUT,68,11,40998
SWAY_PERF_OUTPUT,69,10,40999
SWAY_PERF_OUTPUT,70,11,41000
SWAY_PERF_OUTPUT,71,5,41001
SWAY_PERF_OUTPUT,72,3,41002
SWAY_PERF_OUTPUT,73,0,41003
SWAY_PERF_OUTPUT,74,0,41004
SWAY_PERF_OUTPUT,75,8,41005
SWAY_PERF_OUTPUT,76,62,41006
SWAY_PERF_OUTPUT,77,62,41007
SWAY_PERF_OUTPUT,78,62,41008
SWAY_PERF_OUTPUT,79,62,41009
SWAY_PERF_OUTPUT,80,62,41010
SWAY_PERF_OUTPUT,81,62,41011
SWAY_PERF_OUTPUT,82,60,41012
SWAY_PERF_OUTPUT,83,61,41013
SWAY_PERF_OUTPUT,84,61,41014
SWAY_PERF_OUTPUT,85,60,41015
SWAY_PERF_OUTPUT,86,61,41016
SWAY_PERF_OUTPUT,87,60,41017
SWAY_PERF_OUTPUT,88,62,41018
SWAY_PERF_OUTPUT,89,59,41019
SWAY_PERF_OUTPUT,90,61,41020
SWAY_PERF_OUTPUT,91,61,41021
SWAY_PERF_OUTPUT,92,64,41022
SWAY_PERF_OUTPUT,93,60,41023
SWAY_PERF_OUTPUT,94,62,41024
SWAY_PERF_OUTPUT,95,-6,41025
SWAY_PERF_OUTPUT,96,4,41026
SWAY_PERF_OUTPUT,97,14,41027
SWAY_PERF_OUTPUT,98,18,41028
SWAY_PERF_OUTPUT,99,10,41029
SWAY_PERF_OUTPUT,100,6,41030
SWAY_PERF_OUTPUT,101,-1,41031
SWAY_PERF_OUTPUT,102,10,41032
SWAY_PERF_OUTPUT,103,4,41033
SWAY_PERF_OUTPUT,104,-1,41034
SWAY_PERF_OUTPUT,105,-5,41035
SWAY_PERF_OUTPUT,106,-16,41036
SWAY_PERF_OUTPUT,107,-26,41037
SWAY_PERF_OUTPUT,108,-29,41038
SWAY_PERF_OUTPUT,109,-6,41039
SWAY_PERF_OUTPUT,110,-15,41040
SWAY_PERF_OUTPUT,111,-26,41041
SWAY_PERF_OUTPUT,112,-28,41042
SWAY_PERF_OUTPUT,113,11,41043
SWAY_PERF_FRAME,1,40987,41043
SWAY_PROFILE,head_in,2,4,41885
SWAY_PROFILE,block0_in,2,12,41970
SWAY_PROFILE,block1_in,2,7,41970
SWAY_PROFILE,embedding_in,2,14,41972
SWAY_PROFILE,patch_ready,2,15,41973
SWAY_PERF_INPUT_FRAME,4,26472,42263
SWAY_PROFILE,head_in,2,5,42872
SWAY_PROFILE,block0_in,2,13,42957
SWAY_PROFILE,block1_in,2,8,42957
SWAY_PROFILE,embedding_in,2,15,42959
SWAY_PROFILE,patch_ready,3,0,42960
SWAY_PROFILE,head_in,2,6,43859
SWAY_PROFILE,block0_in,2,14,43944
SWAY_PROFILE,block1_in,2,9,43944
SWAY_PROFILE,embedding_in,3,0,43946
SWAY_PROFILE,patch_ready,3,1,43947
SWAY_PROFILE,head_in,2,7,44846
SWAY_PROFILE,block0_in,2,15,44931
SWAY_PROFILE,block1_in,2,10,44931
SWAY_PROFILE,embedding_in,3,1,44933
SWAY_PROFILE,patch_ready,3,2,44934
SWAY_PROFILE,head_in,2,8,45833
SWAY_PROFILE,block0_in,3,0,45918
SWAY_PROFILE,block1_in,2,11,45918
SWAY_PROFILE,embedding_in,3,2,45920
SWAY_PROFILE,patch_ready,3,3,45921
SWAY_PROFILE,head_in,2,9,46820
SWAY_PROFILE,block0_in,3,1,46905
SWAY_PROFILE,block1_in,2,12,46905
SWAY_PROFILE,embedding_in,3,3,46907
SWAY_PROFILE,patch_ready,3,4,46908
SWAY_PROFILE,head_in,2,10,47807
SWAY_PROFILE,block0_in,3,2,47892
SWAY_PROFILE,block1_in,2,13,47892
SWAY_PROFILE,embedding_in,3,4,47894
SWAY_PROFILE,patch_ready,3,5,47895
SWAY_PROFILE,head_in,2,11,48794
SWAY_PROFILE,block0_in,3,3,48879
SWAY_PROFILE,block1_in,2,14,48879
SWAY_PROFILE,embedding_in,3,5,48881
SWAY_PROFILE,patch_ready,3,6,48882
SWAY_PROFILE,head_in,2,12,49781
SWAY_PROFILE,block0_in,3,4,49866
SWAY_PROFILE,block1_in,2,15,49866
SWAY_PROFILE,embedding_in,3,6,49868
SWAY_PROFILE,patch_ready,3,7,49869
SWAY_PROFILE,head_in,2,13,50768
SWAY_PROFILE,block0_in,3,5,50853
SWAY_PROFILE,block1_in,3,0,50853
SWAY_PROFILE,embedding_in,3,7,50855
SWAY_PROFILE,patch_ready,3,8,50856
SWAY_PROFILE,head_in,2,14,51755
SWAY_PROFILE,block0_in,3,6,51840
SWAY_PROFILE,block1_in,3,1,51840
SWAY_PROFILE,embedding_in,3,8,51842
SWAY_PROFILE,patch_ready,3,9,51843
SWAY_PROFILE,head_in,2,15,52742
SWAY_PROFILE,block0_in,3,7,52827
SWAY_PROFILE,block1_in,3,2,52827
SWAY_PROFILE,embedding_in,3,9,52829
SWAY_PROFILE,patch_ready,3,10,52830
SWAY_PROFILE,head_in,3,0,53729
SWAY_PROFILE,block0_in,3,8,53814
SWAY_PROFILE,block1_in,3,3,53814
SWAY_PROFILE,embedding_in,3,10,53816
SWAY_PROFILE,patch_ready,3,11,53817
SWAY_PROFILE,head_in,3,1,54716
SWAY_PROFILE,block0_in,3,9,54801
SWAY_PROFILE,block1_in,3,4,54801
SWAY_PROFILE,embedding_in,3,11,54803
SWAY_PROFILE,patch_ready,3,12,54804
SWAY_PROFILE,head_in,3,2,55703
SWAY_PROFILE,block0_in,3,10,55788
SWAY_PROFILE,block1_in,3,5,55788
SWAY_PROFILE,embedding_in,3,12,55790
SWAY_PROFILE,patch_ready,3,13,55791
SWAY_PROFILE,head_output_in,2,0,56035
SWAY_PROFILE,head_in,3,3,56690
SWAY_PROFILE,block0_in,3,11,56775
SWAY_PROFILE,block1_in,3,6,56775
SWAY_PROFILE,embedding_in,3,13,56777
SWAY_PROFILE,serialize_in,2,0,56777
SWAY_PROFILE,patch_ready,3,14,56778
SWAY_PERF_OUTPUT,114,8,56779
SWAY_PERF_OUTPUT,115,9,56780
SWAY_PERF_OUTPUT,116,8,56781
SWAY_PERF_OUTPUT,117,9,56782
SWAY_PERF_OUTPUT,118,13,56783
SWAY_PERF_OUTPUT,119,16,56784
SWAY_PERF_OUTPUT,120,15,56785
SWAY_PERF_OUTPUT,121,4,56786
SWAY_PERF_OUTPUT,122,1,56787
SWAY_PERF_OUTPUT,123,0,56788
SWAY_PERF_OUTPUT,124,10,56789
SWAY_PERF_OUTPUT,125,10,56790
SWAY_PERF_OUTPUT,126,8,56791
SWAY_PERF_OUTPUT,127,8,56792
SWAY_PERF_OUTPUT,128,6,56793
SWAY_PERF_OUTPUT,129,4,56794
SWAY_PERF_OUTPUT,130,2,56795
SWAY_PERF_OUTPUT,131,1,56796
SWAY_PERF_OUTPUT,132,9,56797
SWAY_PERF_OUTPUT,133,63,56798
SWAY_PERF_OUTPUT,134,63,56799
SWAY_PERF_OUTPUT,135,63,56800
SWAY_PERF_OUTPUT,136,63,56801
SWAY_PERF_OUTPUT,137,62,56802
SWAY_PERF_OUTPUT,138,62,56803
SWAY_PERF_OUTPUT,139,60,56804
SWAY_PERF_OUTPUT,140,62,56805
SWAY_PERF_OUTPUT,141,64,56806
SWAY_PERF_OUTPUT,142,62,56807
SWAY_PERF_OUTPUT,143,62,56808
SWAY_PERF_OUTPUT,144,62,56809
SWAY_PERF_OUTPUT,145,63,56810
SWAY_PERF_OUTPUT,146,62,56811
SWAY_PERF_OUTPUT,147,62,56812
SWAY_PERF_OUTPUT,148,62,56813
SWAY_PERF_OUTPUT,149,63,56814
SWAY_PERF_OUTPUT,150,59,56815
SWAY_PERF_OUTPUT,151,63,56816
SWAY_PERF_OUTPUT,152,-8,56817
SWAY_PERF_OUTPUT,153,2,56818
SWAY_PERF_OUTPUT,154,13,56819
SWAY_PERF_OUTPUT,155,17,56820
SWAY_PERF_OUTPUT,156,9,56821
SWAY_PERF_OUTPUT,157,2,56822
SWAY_PERF_OUTPUT,158,-4,56823
SWAY_PERF_OUTPUT,159,8,56824
SWAY_PERF_OUTPUT,160,2,56825
SWAY_PERF_OUTPUT,161,-4,56826
SWAY_PERF_OUTPUT,162,-7,56827
SWAY_PERF_OUTPUT,163,-17,56828
SWAY_PERF_OUTPUT,164,-28,56829
SWAY_PERF_OUTPUT,165,-30,56830
SWAY_PERF_OUTPUT,166,-7,56831
SWAY_PERF_OUTPUT,167,-16,56832
SWAY_PERF_OUTPUT,168,-26,56833
SWAY_PERF_OUTPUT,169,-29,56834
SWAY_PERF_OUTPUT,170,10,56835
SWAY_PERF_FRAME,2,56779,56835
SWAY_PROFILE,head_in,3,4,57677
SWAY_PROFILE,block0_in,3,12,57762
SWAY_PROFILE,block1_in,3,7,57762
SWAY_PROFILE,embedding_in,3,14,57764
SWAY_PROFILE,patch_ready,3,15,57765
SWAY_PERF_INPUT_FRAME,5,42264,58055
SWAY_PROFILE,head_in,3,5,58664
SWAY_PROFILE,block0_in,3,13,58749
SWAY_PROFILE,block1_in,3,8,58749
SWAY_PROFILE,embedding_in,3,15,58751
SWAY_PROFILE,patch_ready,4,0,58752
SWAY_PROFILE,head_in,3,6,59651
SWAY_PROFILE,block0_in,3,14,59736
SWAY_PROFILE,block1_in,3,9,59736
SWAY_PROFILE,embedding_in,4,0,59738
SWAY_PROFILE,patch_ready,4,1,59739
SWAY_PROFILE,head_in,3,7,60638
SWAY_PROFILE,block0_in,3,15,60723
SWAY_PROFILE,block1_in,3,10,60723
SWAY_PROFILE,embedding_in,4,1,60725
SWAY_PROFILE,patch_ready,4,2,60726
SWAY_PROFILE,head_in,3,8,61625
SWAY_PROFILE,block0_in,4,0,61710
SWAY_PROFILE,block1_in,3,11,61710
SWAY_PROFILE,embedding_in,4,2,61712
SWAY_PROFILE,patch_ready,4,3,61713
SWAY_PROFILE,head_in,3,9,62612
SWAY_PROFILE,block0_in,4,1,62697
SWAY_PROFILE,block1_in,3,12,62697
SWAY_PROFILE,embedding_in,4,3,62699
SWAY_PROFILE,patch_ready,4,4,62700
SWAY_PROFILE,head_in,3,10,63599
SWAY_PROFILE,block0_in,4,2,63684
SWAY_PROFILE,block1_in,3,13,63684
SWAY_PROFILE,embedding_in,4,4,63686
SWAY_PROFILE,patch_ready,4,5,63687
SWAY_PROFILE,head_in,3,11,64586
SWAY_PROFILE,block0_in,4,3,64671
SWAY_PROFILE,block1_in,3,14,64671
SWAY_PROFILE,embedding_in,4,5,64673
SWAY_PROFILE,patch_ready,4,6,64674
SWAY_PROFILE,head_in,3,12,65573
SWAY_PROFILE,block0_in,4,4,65658
SWAY_PROFILE,block1_in,3,15,65658
SWAY_PROFILE,embedding_in,4,6,65660
SWAY_PROFILE,patch_ready,4,7,65661
SWAY_PROFILE,head_in,3,13,66560
SWAY_PROFILE,block0_in,4,5,66645
SWAY_PROFILE,block1_in,4,0,66645
SWAY_PROFILE,embedding_in,4,7,66647
SWAY_PROFILE,patch_ready,4,8,66648
SWAY_PROFILE,head_in,3,14,67547
SWAY_PROFILE,block0_in,4,6,67632
SWAY_PROFILE,block1_in,4,1,67632
SWAY_PROFILE,embedding_in,4,8,67634
SWAY_PROFILE,patch_ready,4,9,67635
SWAY_PROFILE,head_in,3,15,68534
SWAY_PROFILE,block0_in,4,7,68619
SWAY_PROFILE,block1_in,4,2,68619
SWAY_PROFILE,embedding_in,4,9,68621
SWAY_PROFILE,patch_ready,4,10,68622
SWAY_PROFILE,head_in,4,0,69521
SWAY_PROFILE,block0_in,4,8,69606
SWAY_PROFILE,block1_in,4,3,69606
SWAY_PROFILE,embedding_in,4,10,69608
SWAY_PROFILE,patch_ready,4,11,69609
SWAY_PROFILE,head_in,4,1,70508
SWAY_PROFILE,block0_in,4,9,70593
SWAY_PROFILE,block1_in,4,4,70593
SWAY_PROFILE,embedding_in,4,11,70595
SWAY_PROFILE,patch_ready,4,12,70596
SWAY_PROFILE,head_in,4,2,71495
SWAY_PROFILE,block0_in,4,10,71580
SWAY_PROFILE,block1_in,4,5,71580
SWAY_PROFILE,embedding_in,4,12,71582
SWAY_PROFILE,patch_ready,4,13,71583
SWAY_PROFILE,head_output_in,3,0,71827
SWAY_PROFILE,head_in,4,3,72482
SWAY_PROFILE,block0_in,4,11,72567
SWAY_PROFILE,block1_in,4,6,72567
SWAY_PROFILE,embedding_in,4,13,72569
SWAY_PROFILE,serialize_in,3,0,72569
SWAY_PROFILE,patch_ready,4,14,72570
SWAY_PERF_OUTPUT,171,7,72571
SWAY_PERF_OUTPUT,172,7,72572
SWAY_PERF_OUTPUT,173,6,72573
SWAY_PERF_OUTPUT,174,7,72574
SWAY_PERF_OUTPUT,175,13,72575
SWAY_PERF_OUTPUT,176,17,72576
SWAY_PERF_OUTPUT,177,20,72577
SWAY_PERF_OUTPUT,178,1,72578
SWAY_PERF_OUTPUT,179,-3,72579
SWAY_PERF_OUTPUT,180,-4,72580
SWAY_PERF_OUTPUT,181,10,72581
SWAY_PERF_OUTPUT,182,11,72582
SWAY_PERF_OUTPUT,183,13,72583
SWAY_PERF_OUTPUT,184,13,72584
SWAY_PERF_OUTPUT,185,5,72585
SWAY_PERF_OUTPUT,186,4,72586
SWAY_PERF_OUTPUT,187,2,72587
SWAY_PERF_OUTPUT,188,2,72588
SWAY_PERF_OUTPUT,189,7,72589
SWAY_PERF_OUTPUT,190,62,72590
SWAY_PERF_OUTPUT,191,62,72591
SWAY_PERF_OUTPUT,192,62,72592
SWAY_PERF_OUTPUT,193,61,72593
SWAY_PERF_OUTPUT,194,63,72594
SWAY_PERF_OUTPUT,195,65,72595
SWAY_PERF_OUTPUT,196,62,72596
SWAY_PERF_OUTPUT,197,60,72597
SWAY_PERF_OUTPUT,198,59,72598
SWAY_PERF_OUTPUT,199,57,72599
SWAY_PERF_OUTPUT,200,60,72600
SWAY_PERF_OUTPUT,201,60,72601
SWAY_PERF_OUTPUT,202,59,72602
SWAY_PERF_OUTPUT,203,56,72603
SWAY_PERF_OUTPUT,204,60,72604
SWAY_PERF_OUTPUT,205,63,72605
SWAY_PERF_OUTPUT,206,65,72606
SWAY_PERF_OUTPUT,207,62,72607
SWAY_PERF_OUTPUT,208,62,72608
