SWAY_PERF_BEGIN,1,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PERF_OUTPUT,0,7,16491
SWAY_PERF_OUTPUT,1,7,16492
SWAY_PERF_OUTPUT,2,6,16493
SWAY_PERF_OUTPUT,3,6,16494
SWAY_PERF_OUTPUT,4,12,16495
SWAY_PERF_OUTPUT,5,16,16496
SWAY_PERF_OUTPUT,6,19,16497
SWAY_PERF_OUTPUT,7,1,16498
SWAY_PERF_OUTPUT,8,-2,16499
SWAY_PERF_OUTPUT,9,-3,16500
SWAY_PERF_OUTPUT,10,9,16501
SWAY_PERF_OUTPUT,11,10,16502
SWAY_PERF_OUTPUT,12,11,16503
SWAY_PERF_OUTPUT,13,11,16504
SWAY_PERF_OUTPUT,14,4,16505
SWAY_PERF_OUTPUT,15,2,16506
SWAY_PERF_OUTPUT,16,0,16507
SWAY_PERF_OUTPUT,17,0,16508
SWAY_PERF_OUTPUT,18,7,16509
SWAY_PERF_OUTPUT,19,63,16510
SWAY_PERF_OUTPUT,20,63,16511
SWAY_PERF_OUTPUT,21,63,16512
SWAY_PERF_OUTPUT,22,62,16513
SWAY_PERF_OUTPUT,23,62,16514
SWAY_PERF_OUTPUT,24,63,16515
SWAY_PERF_OUTPUT,25,61,16516
SWAY_PERF_OUTPUT,26,62,16517
SWAY_PERF_OUTPUT,27,63,16518
SWAY_PERF_OUTPUT,28,61,16519
SWAY_PERF_OUTPUT,29,62,16520
SWAY_PERF_OUTPUT,30,62,16521
SWAY_PERF_OUTPUT,31,63,16522
SWAY_PERF_OUTPUT,32,61,16523
SWAY_PERF_OUTPUT,33,62,16524
SWAY_PERF_OUTPUT,34,62,16525
SWAY_PERF_OUTPUT,35,63,16526
SWAY_PERF_OUTPUT,36,60,16527
SWAY_PERF_OUTPUT,37,63,16528
SWAY_PERF_OUTPUT,38,-7,16529
SWAY_PERF_OUTPUT,39,2,16530
SWAY_PERF_OUTPUT,40,13,16531
SWAY_PERF_OUTPUT,41,17,16532
SWAY_PERF_OUTPUT,42,9,16533
SWAY_PERF_OUTPUT,43,5,16534
SWAY_PERF_OUTPUT,44,2,16535
SWAY_PERF_OUTPUT,45,9,16536
SWAY_PERF_OUTPUT,46,2,16537
SWAY_PERF_OUTPUT,47,-4,16538
SWAY_PERF_OUTPUT,48,-7,16539
SWAY_PERF_OUTPUT,49,-17,16540
SWAY_PERF_OUTPUT,50,-28,16541
SWAY_PERF_OUTPUT,51,-29,16542
SWAY_PERF_OUTPUT,52,-7,16543
SWAY_PERF_OUTPUT,53,-16,16544
SWAY_PERF_OUTPUT,54,-27,16545
SWAY_PERF_OUTPUT,55,-29,16546
SWAY_PERF_OUTPUT,56,10,16547
SWAY_PERF_FRAME,0,16491,16547
SWAY_PERF_PASS,1,57,18596,2048
