SWAY_PERF_BEGIN,1,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PERF_OUTPUT,0,7,20709
SWAY_PERF_OUTPUT,1,7,20710
SWAY_PERF_OUTPUT,2,6,20711
SWAY_PERF_OUTPUT,3,6,20712
SWAY_PERF_OUTPUT,4,12,20713
SWAY_PERF_OUTPUT,5,16,20714
SWAY_PERF_OUTPUT,6,19,20715
SWAY_PERF_OUTPUT,7,1,20716
SWAY_PERF_OUTPUT,8,-2,20717
SWAY_PERF_OUTPUT,9,-3,20718
SWAY_PERF_OUTPUT,10,9,20719
SWAY_PERF_OUTPUT,11,10,20720
SWAY_PERF_OUTPUT,12,11,20721
SWAY_PERF_OUTPUT,13,11,20722
SWAY_PERF_OUTPUT,14,4,20723
SWAY_PERF_OUTPUT,15,2,20724
SWAY_PERF_OUTPUT,16,0,20725
SWAY_PERF_OUTPUT,17,0,20726
SWAY_PERF_OUTPUT,18,7,20727
SWAY_PERF_OUTPUT,19,63,20728
SWAY_PERF_OUTPUT,20,63,20729
SWAY_PERF_OUTPUT,21,63,20730
SWAY_PERF_OUTPUT,22,62,20731
SWAY_PERF_OUTPUT,23,62,20732
SWAY_PERF_OUTPUT,24,63,20733
SWAY_PERF_OUTPUT,25,61,20734
SWAY_PERF_OUTPUT,26,62,20735
SWAY_PERF_OUTPUT,27,63,20736
SWAY_PERF_OUTPUT,28,61,20737
SWAY_PERF_OUTPUT,29,62,20738
SWAY_PERF_OUTPUT,30,62,20739
SWAY_PERF_OUTPUT,31,63,20740
SWAY_PERF_OUTPUT,32,61,20741
SWAY_PERF_OUTPUT,33,62,20742
SWAY_PERF_OUTPUT,34,62,20743
SWAY_PERF_OUTPUT,35,63,20744
SWAY_PERF_OUTPUT,36,60,20745
SWAY_PERF_OUTPUT,37,63,20746
SWAY_PERF_OUTPUT,38,-7,20747
SWAY_PERF_OUTPUT,39,2,20748
SWAY_PERF_OUTPUT,40,13,20749
SWAY_PERF_OUTPUT,41,17,20750
SWAY_PERF_OUTPUT,42,9,20751
SWAY_PERF_OUTPUT,43,5,20752
SWAY_PERF_OUTPUT,44,2,20753
SWAY_PERF_OUTPUT,45,9,20754
SWAY_PERF_OUTPUT,46,2,20755
SWAY_PERF_OUTPUT,47,-4,20756
SWAY_PERF_OUTPUT,48,-7,20757
SWAY_PERF_OUTPUT,49,-17,20758
SWAY_PERF_OUTPUT,50,-28,20759
SWAY_PERF_OUTPUT,51,-29,20760
SWAY_PERF_OUTPUT,52,-7,20761
SWAY_PERF_OUTPUT,53,-16,20762
SWAY_PERF_OUTPUT,54,-27,20763
SWAY_PERF_OUTPUT,55,-29,20764
SWAY_PERF_OUTPUT,56,10,20765
SWAY_PERF_FRAME,0,20709,20765
SWAY_PERF_PASS,1,57,22814,2048
