---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 151 | train MSE 0.008819 m2 | val MAE 6.5682 cm | val RMSE 8.8887 cm | 7.49 s *
Epoch 152 | train MSE 0.008788 m2 | val MAE 6.5845 cm | val RMSE 8.9159 cm | 7.49 s
Epoch 153 | train MSE 0.008760 m2 | val MAE 6.6600 cm | val RMSE 8.9621 cm | 7.67 s
Epoch 154 | train MSE 0.008770 m2 | val MAE 6.5625 cm | val RMSE 8.8725 cm | 7.29 s *
Epoch 155 | train MSE 0.008741 m2 | val MAE 6.7141 cm | val RMSE 9.0193 cm | 7.27 s
Epoch 156 | train MSE 0.008780 m2 | val MAE 6.7395 cm | val RMSE 9.0488 cm | 7.66 s
Epoch 157 | train MSE 0.008766 m2 | val MAE 6.6354 cm | val RMSE 8.9659 cm | 7.81 s
Epoch 158 | train MSE 0.008746 m2 | val MAE 6.6027 cm | val RMSE 8.9204 cm | 7.51 s
Epoch 159 | train MSE 0.008718 m2 | val MAE 6.5791 cm | val RMSE 8.8743 cm | 7.70 s
Epoch 160 | train MSE 0.008703 m2 | val MAE 6.5124 cm | val RMSE 8.8220 cm | 7.58 s *
Epoch 161 | train MSE 0.008661 m2 | val MAE 6.5468 cm | val RMSE 8.8480 cm | 7.94 s
Epoch 162 | train MSE 0.008684 m2 | val MAE 6.6190 cm | val RMSE 8.9686 cm | 7.95 s
Epoch 163 | train MSE 0.008705 m2 | val MAE 6.6110 cm | val RMSE 8.9163 cm | 7.91 s
Epoch 164 | train MSE 0.008832 m2 | val MAE 6.5607 cm | val RMSE 8.8619 cm | 7.93 s
Epoch 165 | train MSE 0.008640 m2 | val MAE 6.8536 cm | val RMSE 9.1445 cm | 8.62 s
Epoch 166 | train MSE 0.008923 m2 | val MAE 6.5357 cm | val RMSE 8.8392 cm | 7.90 s
Epoch 167 | train MSE 0.008609 m2 | val MAE 6.6663 cm | val RMSE 8.9989 cm | 7.73 s
Epoch 168 | train MSE 0.008631 m2 | val MAE 6.5762 cm | val RMSE 8.8568 cm | 7.97 s
Epoch 169 | train MSE 0.008593 m2 | val MAE 6.5847 cm | val RMSE 8.8874 cm | 7.95 s
Epoch 170 | train MSE 0.008564 m2 | val MAE 6.4548 cm | val RMSE 8.7769 cm | 8.00 s *
Epoch 171 | train MSE 0.008539 m2 | val MAE 6.4681 cm | val RMSE 8.7880 cm | 7.48 s
Epoch 172 | train MSE 0.008555 m2 | val MAE 6.5023 cm | val RMSE 8.7995 cm | 7.46 s
Epoch 173 | train MSE 0.008535 m2 | val MAE 6.5092 cm | val RMSE 8.8104 cm | 8.09 s
Epoch 174 | train MSE 0.008567 m2 | val MAE 6.4532 cm | val RMSE 8.7637 cm | 8.38 s *
Epoch 175 | train MSE 0.008511 m2 | val MAE 6.4553 cm | val RMSE 8.7724 cm | 8.25 s
Epoch 176 | train MSE 0.008516 m2 | val MAE 6.4807 cm | val RMSE 8.7698 cm | 7.76 s
Epoch 177 | train MSE 0.008513 m2 | val MAE 6.4473 cm | val RMSE 8.7715 cm | 8.36 s
Epoch 178 | train MSE 0.008553 m2 | val MAE 6.4857 cm | val RMSE 8.7873 cm | 7.95 s
Epoch 179 | train MSE 0.008524 m2 | val MAE 6.4547 cm | val RMSE 8.7579 cm | 7.97 s *
Epoch 180 | train MSE 0.008482 m2 | val MAE 6.4959 cm | val RMSE 8.7852 cm | 7.65 s
Epoch 181 | train MSE 0.008503 m2 | val MAE 6.4528 cm | val RMSE 8.7533 cm | 7.79 s *
Epoch 182 | train MSE 0.008516 m2 | val MAE 6.4454 cm | val RMSE 8.7844 cm | 7.51 s
Epoch 183 | train MSE 0.008512 m2 | val MAE 6.4407 cm | val RMSE 8.7458 cm | 7.70 s *
Epoch 184 | train MSE 0.008470 m2 | val MAE 6.4295 cm | val RMSE 8.7363 cm | 7.57 s *
Epoch 185 | train MSE 0.008471 m2 | val MAE 6.4281 cm | val RMSE 8.7366 cm | 8.13 s
Epoch 186 | train MSE 0.008473 m2 | val MAE 6.4531 cm | val RMSE 8.7567 cm | 7.70 s
Epoch 187 | train MSE 0.008462 m2 | val MAE 6.4264 cm | val RMSE 8.7317 cm | 7.54 s *
Epoch 188 | train MSE 0.008464 m2 | val MAE 6.4980 cm | val RMSE 8.7699 cm | 7.49 s
Epoch 189 | train MSE 0.008463 m2 | val MAE 6.4605 cm | val RMSE 8.7423 cm | 7.71 s
Epoch 190 | train MSE 0.008471 m2 | val MAE 6.4359 cm | val RMSE 8.7418 cm | 7.70 s
Epoch 191 | train MSE 0.008433 m2 | val MAE 6.4538 cm | val RMSE 8.7444 cm | 7.93 s
Epoch 192 | train MSE 0.008441 m2 | val MAE 6.4445 cm | val RMSE 8.7508 cm | 7.81 s
Epoch 193 | train MSE 0.008457 m2 | val MAE 6.4692 cm | val RMSE 8.8044 cm | 7.45 s
Epoch 194 | train MSE 0.008520 m2 | val MAE 6.4309 cm | val RMSE 8.7261 cm | 7.63 s *
Epoch 195 | train MSE 0.008419 m2 | val MAE 6.4860 cm | val RMSE 8.7478 cm | 7.63 s
Epoch 196 | train MSE 0.008479 m2 | val MAE 6.4311 cm | val RMSE 8.7500 cm | 7.71 s
Epoch 197 | train MSE 0.008476 m2 | val MAE 6.4677 cm | val RMSE 8.7596 cm | 7.89 s
Epoch 198 | train MSE 0.008411 m2 | val MAE 6.4379 cm | val RMSE 8.7669 cm | 7.50 s
Epoch 199 | train MSE 0.008443 m2 | val MAE 6.4492 cm | val RMSE 8.7419 cm | 7.35 s
Epoch 200 | train MSE 0.008419 m2 | val MAE 6.4499 cm | val RMSE 8.7620 cm | 8.08 s
Epoch 201 | train MSE 0.008419 m2 | val MAE 6.3907 cm | val RMSE 8.7033 cm | 8.19 s *
Epoch 202 | train MSE 0.008400 m2 | val MAE 6.4221 cm | val RMSE 8.7070 cm | 8.44 s
Epoch 203 | train MSE 0.008388 m2 | val MAE 6.4476 cm | val RMSE 8.7127 cm | 7.71 s
Epoch 204 | train MSE 0.008409 m2 | val MAE 6.4118 cm | val RMSE 8.7424 cm | 7.79 s
Epoch 205 | train MSE 0.008480 m2 | val MAE 6.3951 cm | val RMSE 8.6931 cm | 7.88 s *
Epoch 206 | train MSE 0.008365 m2 | val MAE 6.4799 cm | val RMSE 8.7483 cm | 7.70 s
