[STEP 1] Verifying source checkpoint and loading train/validation arrays
[STEP 3] PWL fine-tuning | epoch-0 validation RMSE 9.7210 cm
Epoch   1 | train MSE 0.008093 m2 | val MAE 6.2637 cm | val RMSE 8.5250 cm | 19.60 s *
Epoch   2 | train MSE 0.008017 m2 | val MAE 6.2719 cm | val RMSE 8.5487 cm | 19.75 s
Epoch   3 | train MSE 0.008024 m2 | val MAE 6.2675 cm | val RMSE 8.5372 cm | 21.16 s
Epoch   4 | train MSE 0.008014 m2 | val MAE 6.2741 cm | val RMSE 8.5483 cm | 19.74 s
Epoch   5 | train MSE 0.008009 m2 | val MAE 6.2818 cm | val RMSE 8.5293 cm | 20.69 s
Epoch   6 | train MSE 0.007997 m2 | val MAE 6.3032 cm | val RMSE 8.5548 cm | 19.31 s
Epoch   7 | train MSE 0.008010 m2 | val MAE 6.2790 cm | val RMSE 8.5394 cm | 19.74 s
Epoch   8 | train MSE 0.007969 m2 | val MAE 6.2690 cm | val RMSE 8.5190 cm | 19.40 s *
Epoch   9 | train MSE 0.007964 m2 | val MAE 6.2609 cm | val RMSE 8.5208 cm | 19.83 s
Epoch  10 | train MSE 0.007971 m2 | val MAE 6.2662 cm | val RMSE 8.5275 cm | 21.34 s
Epoch  11 | train MSE 0.007974 m2 | val MAE 6.2648 cm | val RMSE 8.5204 cm | 21.08 s
Epoch  12 | train MSE 0.007971 m2 | val MAE 6.2391 cm | val RMSE 8.5096 cm | 19.19 s *
Epoch  13 | train MSE 0.007966 m2 | val MAE 6.2476 cm | val RMSE 8.5245 cm | 21.10 s
Epoch  14 | train MSE 0.007977 m2 | val MAE 6.2680 cm | val RMSE 8.5318 cm | 20.87 s
Epoch  15 | train MSE 0.007983 m2 | val MAE 6.2514 cm | val RMSE 8.5107 cm | 20.23 s
Epoch  16 | train MSE 0.007959 m2 | val MAE 6.2639 cm | val RMSE 8.5265 cm | 20.21 s
Epoch  17 | train MSE 0.007954 m2 | val MAE 6.2770 cm | val RMSE 8.5332 cm | 19.23 s
Epoch  18 | train MSE 0.007957 m2 | val MAE 6.2494 cm | val RMSE 8.5049 cm | 20.46 s *
Epoch  19 | train MSE 0.007942 m2 | val MAE 6.2359 cm | val RMSE 8.5060 cm | 21.56 s
Epoch  20 | train MSE 0.007952 m2 | val MAE 6.2420 cm | val RMSE 8.5175 cm | 19.36 s
Epoch  21 | train MSE 0.007942 m2 | val MAE 6.2457 cm | val RMSE 8.5024 cm | 18.19 s *
Epoch  22 | train MSE 0.007938 m2 | val MAE 6.2491 cm | val RMSE 8.5088 cm | 17.19 s
Epoch  23 | train MSE 0.007941 m2 | val MAE 6.2266 cm | val RMSE 8.5024 cm | 18.32 s
Epoch  24 | train MSE 0.007934 m2 | val MAE 6.2358 cm | val RMSE 8.5010 cm | 18.29 s *
Epoch  25 | train MSE 0.007928 m2 | val MAE 6.2529 cm | val RMSE 8.5148 cm | 17.06 s
Epoch  26 | train MSE 0.007946 m2 | val MAE 6.2393 cm | val RMSE 8.5078 cm | 18.17 s
Epoch  27 | train MSE 0.007934 m2 | val MAE 6.2554 cm | val RMSE 8.5139 cm | 17.85 s
Epoch  28 | train MSE 0.007929 m2 | val MAE 6.2455 cm | val RMSE 8.5063 cm | 17.12 s
Epoch  29 | train MSE 0.007953 m2 | val MAE 6.2532 cm | val RMSE 8.5123 cm | 15.80 s
Epoch  30 | train MSE 0.007926 m2 | val MAE 6.2478 cm | val RMSE 8.4998 cm | 16.46 s *
Epoch  31 | train MSE 0.007962 m2 | val MAE 6.2626 cm | val RMSE 8.5075 cm | 16.54 s
Epoch  32 | train MSE 0.007936 m2 | val MAE 6.2348 cm | val RMSE 8.4914 cm | 16.57 s *
Epoch  33 | train MSE 0.007926 m2 | val MAE 6.2296 cm | val RMSE 8.5013 cm | 17.03 s
Epoch  34 | train MSE 0.007932 m2 | val MAE 6.2365 cm | val RMSE 8.4975 cm | 16.43 s
Epoch  35 | train MSE 0.007924 m2 | val MAE 6.2292 cm | val RMSE 8.4921 cm | 15.82 s
Epoch  36 | train MSE 0.007929 m2 | val MAE 6.2285 cm | val RMSE 8.4941 cm | 16.92 s
Epoch  37 | train MSE 0.007909 m2 | val MAE 6.2403 cm | val RMSE 8.4986 cm | 16.10 s
Epoch  38 | train MSE 0.007916 m2 | val MAE 6.2371 cm | val RMSE 8.4941 cm | 16.48 s
Epoch  39 | train MSE 0.007899 m2 | val MAE 6.2350 cm | val RMSE 8.4916 cm | 15.82 s
Epoch  40 | train MSE 0.007903 m2 | val MAE 6.2439 cm | val RMSE 8.4975 cm | 16.17 s
[STEP 4] Selected results/mars_accuracy_20260922/fp32_pwl/best.pt, epoch 32, validation RMSE 8.4914 cm
