[STEP 1] Verifying source checkpoint and loading train/validation arrays
[STEP 2] QAT initial profile uniform_percentile_99.9 | validation RMSE 10.7271 cm
[STEP 2] QAT initial profile uniform_percentile_100 | validation RMSE 10.6555 cm
[STEP 2] QAT initial profile input_99.9_other_nodes_100 | validation RMSE 10.4211 cm
[STEP 3] QAT fine-tuning | epoch-0 validation RMSE 10.4211 cm
Epoch   1 | train MSE 0.009129 m2 | val MAE 6.7323 cm | val RMSE 9.0631 cm | 51.97 s *
Epoch   2 | train MSE 0.009000 m2 | val MAE 6.6915 cm | val RMSE 9.0228 cm | 49.75 s *
Epoch   3 | train MSE 0.008965 m2 | val MAE 6.6669 cm | val RMSE 9.0080 cm | 50.55 s *
Epoch   4 | train MSE 0.008929 m2 | val MAE 6.6938 cm | val RMSE 9.0340 cm | 50.93 s
Epoch   5 | train MSE 0.008915 m2 | val MAE 6.7007 cm | val RMSE 8.9843 cm | 49.09 s *
Epoch   6 | train MSE 0.008875 m2 | val MAE 6.7445 cm | val RMSE 9.0408 cm | 50.25 s
Epoch   7 | train MSE 0.008822 m2 | val MAE 6.6593 cm | val RMSE 8.9672 cm | 50.60 s *
Epoch   8 | train MSE 0.008808 m2 | val MAE 6.6780 cm | val RMSE 8.9846 cm | 85.25 s
Epoch   9 | train MSE 0.008782 m2 | val MAE 6.6329 cm | val RMSE 8.9454 cm | 42.74 s *
Epoch  10 | train MSE 0.008786 m2 | val MAE 6.7934 cm | val RMSE 9.0748 cm | 44.22 s
Epoch  11 | train MSE 0.008754 m2 | val MAE 6.6835 cm | val RMSE 8.9600 cm | 44.38 s
Epoch  12 | train MSE 0.008770 m2 | val MAE 6.6302 cm | val RMSE 8.9537 cm | 44.72 s
Epoch  13 | train MSE 0.008723 m2 | val MAE 6.6616 cm | val RMSE 8.9895 cm | 43.89 s
Epoch  14 | train MSE 0.008732 m2 | val MAE 6.6465 cm | val RMSE 8.9475 cm | 47.31 s
[STEP 1] Verifying source checkpoint and loading train/validation arrays
[STEP 3] QAT fine-tuning | epoch-0 validation RMSE 10.4211 cm
Epoch  15 | train MSE 0.008701 m2 | val MAE 6.7064 cm | val RMSE 8.9896 cm | 48.16 s
Epoch  16 | train MSE 0.008666 m2 | val MAE 6.5837 cm | val RMSE 8.8946 cm | 47.64 s *
Epoch  17 | train MSE 0.008614 m2 | val MAE 6.6193 cm | val RMSE 8.9205 cm | 45.21 s
Epoch  18 | train MSE 0.008635 m2 | val MAE 6.5286 cm | val RMSE 8.8290 cm | 47.16 s *
Epoch  19 | train MSE 0.008610 m2 | val MAE 6.5571 cm | val RMSE 8.8674 cm | 45.66 s
Epoch  20 | train MSE 0.008596 m2 | val MAE 6.5816 cm | val RMSE 8.8691 cm | 50.52 s
Epoch  21 | train MSE 0.008595 m2 | val MAE 6.5703 cm | val RMSE 8.8585 cm | 50.77 s
Epoch  22 | train MSE 0.008608 m2 | val MAE 6.5598 cm | val RMSE 8.8547 cm | 53.82 s
Epoch  23 | train MSE 0.008555 m2 | val MAE 6.5272 cm | val RMSE 8.8129 cm | 53.67 s *
Epoch  24 | train MSE 0.008564 m2 | val MAE 6.5250 cm | val RMSE 8.8449 cm | 52.73 s
Epoch  25 | train MSE 0.008568 m2 | val MAE 6.5668 cm | val RMSE 8.8328 cm | 56.73 s
Epoch  26 | train MSE 0.008572 m2 | val MAE 6.5869 cm | val RMSE 8.8572 cm | 55.64 s
Epoch  27 | train MSE 0.008550 m2 | val MAE 6.5646 cm | val RMSE 8.8305 cm | 53.80 s
Epoch  28 | train MSE 0.008534 m2 | val MAE 6.5465 cm | val RMSE 8.8534 cm | 56.49 s
Epoch  29 | train MSE 0.008531 m2 | val MAE 6.5235 cm | val RMSE 8.8052 cm | 57.15 s *
Epoch  30 | train MSE 0.008512 m2 | val MAE 6.5779 cm | val RMSE 8.8382 cm | 55.30 s
Epoch  31 | train MSE 0.008525 m2 | val MAE 6.5084 cm | val RMSE 8.7838 cm | 55.55 s *
Epoch  32 | train MSE 0.008510 m2 | val MAE 6.5306 cm | val RMSE 8.7931 cm | 48.03 s
Epoch  33 | train MSE 0.008509 m2 | val MAE 6.4721 cm | val RMSE 8.7784 cm | 48.88 s *
Epoch  34 | train MSE 0.008513 m2 | val MAE 6.6148 cm | val RMSE 8.8782 cm | 47.40 s
Epoch  35 | train MSE 0.008507 m2 | val MAE 6.4813 cm | val RMSE 8.7637 cm | 43.70 s *
Epoch  36 | train MSE 0.008493 m2 | val MAE 6.5100 cm | val RMSE 8.7971 cm | 44.93 s
Epoch  37 | train MSE 0.008483 m2 | val MAE 6.5184 cm | val RMSE 8.8055 cm | 44.23 s
Epoch  38 | train MSE 0.008494 m2 | val MAE 6.5492 cm | val RMSE 8.7981 cm | 43.78 s
Epoch  39 | train MSE 0.008484 m2 | val MAE 6.5569 cm | val RMSE 8.8426 cm | 42.21 s
Epoch  40 | train MSE 0.008483 m2 | val MAE 6.5719 cm | val RMSE 8.8418 cm | 39.61 s
[STEP 4] Selected sw/results/mars_accuracy_20260922/qat/best.pt, epoch 35, validation RMSE 8.7637 cm
