epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
1,0.32127375409117287,10.649308485736299,13.905677658092685,0.001,6.310636858999942
2,0.018355134634960028,9.723650337479272,12.796334995252076,0.001,6.620462750999991
3,0.01664289057301694,9.340669998035208,12.353648870753247,0.001,6.776856268000074
4,0.015918812750506894,9.294097565633791,12.14683739524117,0.001,6.764205617000016
5,0.015631907197875043,9.005134999626977,12.017152117443095,0.001,6.746623365000005
6,0.015320966548540938,8.958595786094138,11.87649289001162,0.001,6.756546035000042
7,0.015206355559290183,8.999232832850169,11.81307803491533,0.001,6.883183756999983
8,0.015013842718863189,8.903041649388589,11.803797373374275,0.001,6.570249757000056
9,0.014884020690239275,8.856681383033875,11.710686442509365,0.001,6.671118694999905
10,0.014783425948039337,8.698713480645532,11.67234845646952,0.001,6.634947050000164
11,0.014581976942783043,8.621689500445664,11.49905242876062,0.001,6.397019053000122
12,0.014421502807173192,8.855015377277528,11.703082041850445,0.001,6.605612615999917
13,0.014270520327120666,8.986499460017876,11.711000449764022,0.001,6.67019535899999
14,0.01425636009205042,9.022795778583317,11.798932714556452,0.001,6.750289907000024
15,0.013865256551004557,8.964328738602937,11.552797269109064,0.001,6.512631788999897
16,0.013632322224515697,9.316557811886538,11.752901454080614,0.001,6.746291638999992
17,0.013513308603647496,8.584740260450767,11.099718613214284,0.001,6.152361318999965
18,0.0132107240497183,8.576632997610355,11.155082470004011,0.001,6.4218119550000665
19,0.013047559859244582,8.607328029325034,11.177346014501632,0.001,6.591783193000083
20,0.012958841301418137,8.340225921885958,10.955304865398807,0.001,6.41315725000004
21,0.012675177865365017,8.07688986686814,10.602057391474013,0.001,6.671401534000097
22,0.012544303450900293,8.413662678349931,10.90964143898916,0.001,6.79017025600001
23,0.012545783889020118,8.299177696567499,10.74543359954824,0.001,6.710864996999817
24,0.012248187798405787,8.47781103889261,11.107951662218023,0.001,6.744703429000083
25,0.012470986805317542,7.960366881091155,10.573414781338156,0.001,6.689640604000033
26,0.012124580689264357,8.936860622219498,11.475464340155568,0.001,6.963829002000011
27,0.01242570675597453,10.642618596264203,13.589324314945186,0.001,6.347964164999894
28,0.013289383807769319,8.3558428817764,10.820497683863046,0.001,6.490119547999939
29,0.012397847149490463,7.873142031091599,10.468249112152458,0.001,6.475498615000106
30,0.01198822834624878,9.802363665989711,12.345601171612751,0.001,6.753412268999909
31,0.012370739179881388,7.799074410820697,10.291964249329698,0.001,6.656450823999876
32,0.011650369971245094,8.128008317344756,10.635758256286714,0.001,6.396947969999928
33,0.011587160090949681,8.401581868526668,10.833566037621557,0.001,6.463918198000101
34,0.011489849552471303,7.828739208711601,10.24922852018021,0.001,6.539702674999944
35,0.011285453885621863,7.6173689355190035,10.156618519748374,0.001,6.7548888419999
36,0.01113934751409939,8.298900649756712,10.813085649044744,0.001,6.812763650000079
