---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch   1 | train MSE 0.321274 m2 | val MAE 10.6493 cm | val RMSE 13.9057 cm | 6.31 s *
Epoch   2 | train MSE 0.018355 m2 | val MAE 9.7237 cm | val RMSE 12.7963 cm | 6.62 s *
Epoch   3 | train MSE 0.016643 m2 | val MAE 9.3407 cm | val RMSE 12.3536 cm | 6.78 s *
Epoch   4 | train MSE 0.015919 m2 | val MAE 9.2941 cm | val RMSE 12.1468 cm | 6.76 s *
Epoch   5 | train MSE 0.015632 m2 | val MAE 9.0051 cm | val RMSE 12.0172 cm | 6.75 s *
Epoch   6 | train MSE 0.015321 m2 | val MAE 8.9586 cm | val RMSE 11.8765 cm | 6.76 s *
Epoch   7 | train MSE 0.015206 m2 | val MAE 8.9992 cm | val RMSE 11.8131 cm | 6.88 s *
Epoch   8 | train MSE 0.015014 m2 | val MAE 8.9030 cm | val RMSE 11.8038 cm | 6.57 s *
Epoch   9 | train MSE 0.014884 m2 | val MAE 8.8567 cm | val RMSE 11.7107 cm | 6.67 s *
Epoch  10 | train MSE 0.014783 m2 | val MAE 8.6987 cm | val RMSE 11.6723 cm | 6.63 s *
Epoch  11 | train MSE 0.014582 m2 | val MAE 8.6217 cm | val RMSE 11.4991 cm | 6.40 s *
Epoch  12 | train MSE 0.014422 m2 | val MAE 8.8550 cm | val RMSE 11.7031 cm | 6.61 s
Epoch  13 | train MSE 0.014271 m2 | val MAE 8.9865 cm | val RMSE 11.7110 cm | 6.67 s
Epoch  14 | train MSE 0.014256 m2 | val MAE 9.0228 cm | val RMSE 11.7989 cm | 6.75 s
Epoch  15 | train MSE 0.013865 m2 | val MAE 8.9643 cm | val RMSE 11.5528 cm | 6.51 s
Epoch  16 | train MSE 0.013632 m2 | val MAE 9.3166 cm | val RMSE 11.7529 cm | 6.75 s
Epoch  17 | train MSE 0.013513 m2 | val MAE 8.5847 cm | val RMSE 11.0997 cm | 6.15 s *
Epoch  18 | train MSE 0.013211 m2 | val MAE 8.5766 cm | val RMSE 11.1551 cm | 6.42 s
Epoch  19 | train MSE 0.013048 m2 | val MAE 8.6073 cm | val RMSE 11.1773 cm | 6.59 s
Epoch  20 | train MSE 0.012959 m2 | val MAE 8.3402 cm | val RMSE 10.9553 cm | 6.41 s *
Epoch  21 | train MSE 0.012675 m2 | val MAE 8.0769 cm | val RMSE 10.6021 cm | 6.67 s *
Epoch  22 | train MSE 0.012544 m2 | val MAE 8.4137 cm | val RMSE 10.9096 cm | 6.79 s
Epoch  23 | train MSE 0.012546 m2 | val MAE 8.2992 cm | val RMSE 10.7454 cm | 6.71 s
Epoch  24 | train MSE 0.012248 m2 | val MAE 8.4778 cm | val RMSE 11.1080 cm | 6.74 s
Epoch  25 | train MSE 0.012471 m2 | val MAE 7.9604 cm | val RMSE 10.5734 cm | 6.69 s *
Epoch  26 | train MSE 0.012125 m2 | val MAE 8.9369 cm | val RMSE 11.4755 cm | 6.96 s
Epoch  27 | train MSE 0.012426 m2 | val MAE 10.6426 cm | val RMSE 13.5893 cm | 6.35 s
Epoch  28 | train MSE 0.013289 m2 | val MAE 8.3558 cm | val RMSE 10.8205 cm | 6.49 s
Epoch  29 | train MSE 0.012398 m2 | val MAE 7.8731 cm | val RMSE 10.4682 cm | 6.48 s *
Epoch  30 | train MSE 0.011988 m2 | val MAE 9.8024 cm | val RMSE 12.3456 cm | 6.75 s
Epoch  31 | train MSE 0.012371 m2 | val MAE 7.7991 cm | val RMSE 10.2920 cm | 6.66 s *
Epoch  32 | train MSE 0.011650 m2 | val MAE 8.1280 cm | val RMSE 10.6358 cm | 6.40 s
Epoch  33 | train MSE 0.011587 m2 | val MAE 8.4016 cm | val RMSE 10.8336 cm | 6.46 s
Epoch  34 | train MSE 0.011490 m2 | val MAE 7.8287 cm | val RMSE 10.2492 cm | 6.54 s *
