---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch   1 | train MSE 0.546113 m2 | val MAE 14.7230 cm | val RMSE 17.9478 cm | 6.42 s *
Epoch   2 | train MSE 0.021164 m2 | val MAE 11.3693 cm | val RMSE 14.4219 cm | 6.19 s *
Epoch   3 | train MSE 0.017445 m2 | val MAE 9.4170 cm | val RMSE 12.5087 cm | 5.64 s *
Epoch   4 | train MSE 0.016364 m2 | val MAE 9.3518 cm | val RMSE 12.2977 cm | 5.89 s *
Epoch   5 | train MSE 0.015760 m2 | val MAE 9.2048 cm | val RMSE 12.0489 cm | 6.14 s *
Epoch   6 | train MSE 0.015355 m2 | val MAE 9.0074 cm | val RMSE 11.9994 cm | 6.14 s *
Epoch   7 | train MSE 0.015030 m2 | val MAE 8.9760 cm | val RMSE 11.7453 cm | 6.14 s *
Epoch   8 | train MSE 0.014862 m2 | val MAE 8.9196 cm | val RMSE 11.6802 cm | 6.54 s *
Epoch   9 | train MSE 0.014751 m2 | val MAE 8.6904 cm | val RMSE 11.5252 cm | 6.29 s *
Epoch  10 | train MSE 0.014604 m2 | val MAE 9.1858 cm | val RMSE 11.7941 cm | 6.23 s
Epoch  11 | train MSE 0.014534 m2 | val MAE 9.1756 cm | val RMSE 11.7982 cm | 6.24 s
Epoch  12 | train MSE 0.014670 m2 | val MAE 9.0445 cm | val RMSE 11.9037 cm | 6.35 s
Epoch  13 | train MSE 0.014429 m2 | val MAE 8.5794 cm | val RMSE 11.4619 cm | 6.33 s *
Epoch  14 | train MSE 0.014250 m2 | val MAE 9.2052 cm | val RMSE 11.7759 cm | 6.33 s
Epoch  15 | train MSE 0.014201 m2 | val MAE 8.6786 cm | val RMSE 11.4048 cm | 6.15 s *
Epoch  16 | train MSE 0.014090 m2 | val MAE 8.3644 cm | val RMSE 11.1393 cm | 6.57 s *
Epoch  17 | train MSE 0.013857 m2 | val MAE 8.4162 cm | val RMSE 11.2179 cm | 6.46 s
Epoch  18 | train MSE 0.013830 m2 | val MAE 8.3509 cm | val RMSE 11.1193 cm | 6.40 s *
Epoch  19 | train MSE 0.013687 m2 | val MAE 8.3037 cm | val RMSE 11.1675 cm | 6.42 s
Epoch  20 | train MSE 0.013576 m2 | val MAE 8.5852 cm | val RMSE 11.1853 cm | 5.98 s
Epoch  21 | train MSE 0.013461 m2 | val MAE 8.5093 cm | val RMSE 11.2500 cm | 5.82 s
Epoch  22 | train MSE 0.013377 m2 | val MAE 8.1704 cm | val RMSE 10.9683 cm | 6.17 s *
Epoch  23 | train MSE 0.013270 m2 | val MAE 8.3202 cm | val RMSE 11.0295 cm | 5.85 s
Epoch  24 | train MSE 0.013154 m2 | val MAE 8.4250 cm | val RMSE 11.1221 cm | 6.33 s
Epoch  25 | train MSE 0.013062 m2 | val MAE 8.7168 cm | val RMSE 11.2379 cm | 6.00 s
Epoch  26 | train MSE 0.013138 m2 | val MAE 8.0163 cm | val RMSE 10.8228 cm | 6.02 s *
Epoch  27 | train MSE 0.012848 m2 | val MAE 8.0053 cm | val RMSE 10.7811 cm | 6.31 s *
Epoch  28 | train MSE 0.012778 m2 | val MAE 8.1345 cm | val RMSE 10.7575 cm | 6.24 s *
